sep=;
1sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;
preparation;17:33:34 - 17:34:44;70;0;
grayscaling;17:34:44 - 17:35:56 (24);72;0;
errosion;17:35:56 - 17:38:0 (24);124;;


image2;sub-image 0;duration;waiting for next stage;
preparation;17:34:45 - 17:36:23;98;0;
grayscaling;17:36:23 - 17:37:43 (28);80;0;
errosion;17:37:43 - 17:39:24 (28);101;;


image3;sub-image 0;duration;waiting for next stage;
preparation;17:36:23 - 17:38:8;105;0;
grayscaling;17:38:8 - 17:40:16 (30);128;0;
errosion;17:40:16 - 17:42:2 (30);106;;


image4;sub-image 0;duration;waiting for next stage;
preparation;17:38:8 - 17:43:1;293;0;
grayscaling;17:43:1 - 17:49:40 (31);399;0;
errosion;17:49:40 - 17:55:43 (31);363;;


image5;sub-image 0;duration;waiting for next stage;
preparation;17:43:1 - 17:51:5;484;0;
grayscaling;17:51:5 - 18:1:16 (24);611;0;
errosion;18:1:16 - 18:9:24 (24);488;;


1sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;duration;waiting for next stage;
preparation;18:9:24 - 18:10:41;77;3;
grayscaling;6:10:44 - 6:11:59 (106);75;1;
errosion;6:12:0 - 6:12:1 (99);1;;


image2;sub-image 0;duration;waiting for next stage;
preparation;18:10:41 - 18:12:17;96;1;
grayscaling;6:12:18 - 6:13:33 (112);75;1;
errosion;6:13:34 - 6:13:35 (101);1;;


image3;sub-image 0;duration;waiting for next stage;
preparation;18:12:17 - 18:13:50;93;1;
grayscaling;6:13:51 - 6:15:6 (98);75;2;
errosion;6:15:8 - 6:15:8 (106);0;;


image4;sub-image 0;duration;waiting for next stage;
preparation;18:13:50 - 18:19:33;343;4;
grayscaling;6:19:37 - 6:23:45 (95);248;3;
errosion;6:23:48 - 6:23:50 (113);2;;


image5;sub-image 0;duration;waiting for next stage;
preparation;18:19:33 - 18:28:47;554;6;
grayscaling;6:28:53 - 6:35:29 (26);396;7;
errosion;6:35:36 - 6:35:38 (102);2;;


