sep=;
10sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;15:30:21 - 15:30:40;19;11;15:30:21 - 15:30:38;17;13;15:30:21 - 15:30:41;20;10;15:30:21 - 15:30:38;17;13;15:30:21 - 15:30:39;18;12;15:30:21 - 15:30:39;18;12;15:30:21 - 15:30:38;17;13;15:30:21 - 15:30:39;18;12;15:30:38 - 15:30:51;13;13;15:30:38 - 15:30:50;12;14;
grayscaling;15:30:51 - 15:31:4 (31);13;17;15:30:51 - 15:31:7 (29);16;29;15:30:51 - 15:31:4 (25);13;17;15:30:51 - 15:31:5 (24);14;30;15:30:51 - 15:31:4 (30);13;18;15:30:51 - 15:31:5 (27);14;30;15:30:51 - 15:31:5 (28);14;18;15:30:51 - 15:31:6 (26);15;29;15:31:4 - 15:31:21 (25);17;25;15:31:4 - 15:31:20 (31);16;25;
errosion;15:31:21 - 15:31:45 (27);24;;15:31:36 - 15:31:55 (28);19;;15:31:21 - 15:31:47 (24);26;;15:31:35 - 15:31:53 (31);18;;15:31:22 - 15:31:49 (26);27;;15:31:35 - 15:31:55 (30);20;;15:31:23 - 15:31:46 (29);23;;15:31:35 - 15:31:55 (25);20;;15:31:46 - 15:32:6 (29);20;;15:31:45 - 15:32:4 (27);19;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;15:31:4 - 15:31:20;16;27;15:31:5 - 15:31:21;16;28;15:31:5 - 15:31:21;16;32;15:31:5 - 15:31:21;16;34;15:31:6 - 15:31:22;16;33;15:31:7 - 15:31:23;16;32;15:31:20 - 15:31:35;15;23;15:31:20 - 15:31:35;15;26;15:31:21 - 15:31:35;14;29;15:31:21 - 15:31:36;15;29;
grayscaling;15:31:47 - 15:31:58 (24);11;25;15:31:49 - 15:32:1 (26);12;22;15:31:53 - 15:32:5 (31);12;21;15:31:55 - 15:32:6 (30);11;23;15:31:55 - 15:32:6 (25);11;25;15:31:55 - 15:32:6 (28);11;26;15:31:58 - 15:32:10 (24);12;28;15:32:1 - 15:32:12 (26);11;27;15:32:4 - 15:32:15 (27);11;29;15:32:5 - 15:32:16 (31);11;30;
errosion;15:32:23 - 15:32:46 (28);23;;15:32:23 - 15:32:44 (25);21;;15:32:26 - 15:32:47 (24);21;;15:32:29 - 15:32:47 (26);18;;15:32:31 - 15:32:49 (27);18;;15:32:32 - 15:32:52 (31);20;;15:32:38 - 15:33:11 (29);33;;15:32:39 - 15:33:12 (30);33;;15:32:44 - 15:33:17 (25);33;;15:32:46 - 15:33:19 (28);33;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;15:32:6 - 15:32:22;16;25;15:32:6 - 15:32:23;17;24;15:32:6 - 15:32:23;17;26;15:32:6 - 15:32:23;17;29;15:32:10 - 15:32:26;16;32;15:32:12 - 15:32:29;17;29;15:32:15 - 15:32:31;16;29;15:32:16 - 15:32:32;16;31;15:32:22 - 15:32:38;16;31;15:32:23 - 15:32:39;16;30;
grayscaling;15:32:47 - 15:32:58 (24);11;13;15:32:47 - 15:32:58 (26);11;13;15:32:49 - 15:33:0 (27);11;12;15:32:52 - 15:33:3 (31);11;11;15:32:58 - 15:33:9 (24);11;65;15:32:58 - 15:33:9 (26);11;65;15:33:0 - 15:33:11 (27);11;90;15:33:3 - 15:33:14 (31);11;87;15:33:9 - 15:33:20 (26);11;82;15:33:9 - 15:33:20 (24);11;84;
errosion;15:33:11 - 15:33:46 (29);35;;15:33:11 - 15:33:46 (27);35;;15:33:12 - 15:33:46 (30);34;;15:33:14 - 15:33:49 (31);35;;15:34:14 - 15:34:50 (24);36;;15:34:14 - 15:34:50 (26);36;;15:34:41 - 15:35:11 (29);30;;15:34:41 - 15:35:11 (27);30;;15:34:42 - 15:35:12 (30);30;;15:34:44 - 15:35:15 (31);31;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;15:33:17 - 15:34:11;54;52;15:33:19 - 15:34:13;54;50;15:33:20 - 15:34:14;54;49;15:33:20 - 15:34:14;54;49;15:33:46 - 15:34:41;55;30;15:33:46 - 15:34:41;55;30;15:33:46 - 15:34:42;56;30;15:33:49 - 15:34:44;55;31;15:34:11 - 15:35:2;51;37;15:34:13 - 15:35:3;50;36;
grayscaling;15:35:3 - 15:35:39 (26);36;101;15:35:3 - 15:35:39 (25);36;98;15:35:3 - 15:35:39 (28);36;98;15:35:3 - 15:35:39 (24);36;98;15:35:11 - 15:35:47 (27);36;117;15:35:11 - 15:35:47 (29);36;117;15:35:12 - 15:35:48 (30);36;164;15:35:15 - 15:35:51 (31);36;161;15:35:39 - 15:36:16 (28);37;172;15:35:39 - 15:36:16 (25);37;173;
errosion;15:37:20 - 15:39:11 (31);111;;15:37:17 - 15:39:8 (29);111;;15:37:17 - 15:39:9 (27);112;;15:37:17 - 15:39:10 (30);113;;15:37:44 - 15:39:33 (28);109;;15:37:44 - 15:39:33 (25);109;;15:38:32 - 15:40:20 (24);108;;15:38:32 - 15:40:20 (26);108;;15:39:8 - 15:40:56 (29);108;;15:39:9 - 15:40:57 (27);108;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;15:35:39 - 15:37:9;90;121;15:35:39 - 15:37:9;90;122;15:35:47 - 15:37:17;90;136;15:35:47 - 15:37:17;90;136;15:35:48 - 15:37:17;89;171;15:35:51 - 15:37:20;89;169;15:36:16 - 15:37:44;88;156;15:36:16 - 15:37:44;88;156;15:37:9 - 15:38:32;83;119;15:37:9 - 15:38:32;83;119;
grayscaling;15:39:10 - 15:40:8 (30);58;48;15:39:11 - 15:40:9 (31);58;48;15:39:33 - 15:40:31 (28);58;34;15:39:33 - 15:40:31 (25);58;36;15:40:8 - 15:41:5 (30);57;13;15:40:9 - 15:41:7 (31);58;11;15:40:20 - 15:41:18 (24);58;11;15:40:20 - 15:41:18 (26);58;11;15:40:31 - 15:41:29 (28);58;140;15:40:31 - 15:41:29 (25);58;141;
errosion;15:40:56 - 15:43:49 (29);173;;15:40:57 - 15:43:50 (27);173;;15:41:5 - 15:43:58 (30);173;;15:41:7 - 15:43:59 (31);172;;15:41:18 - 15:44:8 (24);170;;15:41:18 - 15:44:8 (26);170;;15:41:29 - 15:44:15 (28);166;;15:41:29 - 15:44:15 (25);166;;15:43:49 - 15:45:31 (29);102;;15:43:50 - 15:45:31 (27);101;;


10sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
