sep=;
12sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;15:54:40 - 15:54:55;15;12;15:54:40 - 15:54:56;16;11;15:54:40 - 15:54:56;16;11;15:54:40 - 15:54:57;17;10;15:54:40 - 15:54:56;16;11;15:54:40 - 15:54:54;14;13;15:54:40 - 15:54:54;14;13;15:54:40 - 15:54:55;15;12;15:54:54 - 15:55:6;12;12;15:54:54 - 15:55:6;12;12;15:54:55 - 15:55:7;12;12;15:54:55 - 15:55:6;11;13;
grayscaling;15:55:7 - 15:55:20 (30);13;27;15:55:7 - 15:55:18 (25);11;26;15:55:7 - 15:55:19 (26);12;27;15:55:7 - 15:55:19 (29);12;27;15:55:7 - 15:55:22 (24);15;27;15:55:7 - 15:55:20 (28);13;28;15:55:7 - 15:55:19 (27);12;27;15:55:7 - 15:55:18 (31);11;27;15:55:18 - 15:55:30 (25);12;34;15:55:18 - 15:55:30 (31);12;34;15:55:19 - 15:55:32 (26);13;32;15:55:19 - 15:55:32 (29);13;32;
errosion;15:55:47 - 15:56:4 (27);17;;15:55:44 - 15:56:4 (25);20;;15:55:46 - 15:56:4 (26);18;;15:55:46 - 15:56:6 (29);20;;15:55:49 - 15:56:5 (24);16;;15:55:48 - 15:56:9 (28);21;;15:55:46 - 15:56:5 (30);19;;15:55:45 - 15:56:4 (31);19;;15:56:4 - 15:56:24 (26);20;;15:56:4 - 15:56:21 (27);17;;15:56:4 - 15:56:22 (25);18;;15:56:4 - 15:56:22 (31);18;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;15:55:19 - 15:55:33;14;32;15:55:20 - 15:55:32;12;33;15:55:20 - 15:55:34;14;32;15:55:22 - 15:55:36;14;33;15:55:30 - 15:55:44;14;37;15:55:30 - 15:55:45;15;37;15:55:32 - 15:55:46;14;36;15:55:32 - 15:55:46;14;37;15:55:32 - 15:55:46;14;38;15:55:33 - 15:55:47;14;37;15:55:34 - 15:55:48;14;36;15:55:36 - 15:55:49;13;38;
grayscaling;15:56:5 - 15:56:23 (30);18;33;15:56:5 - 15:56:24 (24);19;32;15:56:6 - 15:56:24 (29);18;33;15:56:9 - 15:56:27 (28);18;32;15:56:21 - 15:56:39 (27);18;27;15:56:22 - 15:56:40 (31);18;27;15:56:22 - 15:56:40 (25);18;27;15:56:23 - 15:56:41 (30);18;28;15:56:24 - 15:56:42 (24);18;42;15:56:24 - 15:56:42 (26);18;42;15:56:24 - 15:56:42 (29);18;43;15:56:27 - 15:56:45 (28);18;42;
errosion;15:56:56 - 15:57:24 (24);28;;15:56:56 - 15:57:24 (26);28;;15:56:57 - 15:57:25 (29);28;;15:56:59 - 15:57:27 (28);28;;15:57:6 - 15:57:33 (27);27;;15:57:7 - 15:57:34 (31);27;;15:57:7 - 15:57:35 (25);28;;15:57:9 - 15:57:36 (30);27;;15:57:24 - 15:57:51 (24);27;;15:57:24 - 15:57:52 (26);28;;15:57:25 - 15:57:52 (29);27;;15:57:27 - 15:57:54 (28);27;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;15:56:39 - 15:56:52;13;41;15:56:40 - 15:56:53;13;41;15:56:40 - 15:56:54;14;41;15:56:41 - 15:56:56;15;40;15:56:42 - 15:56:56;14;55;15:56:42 - 15:56:56;14;55;15:56:42 - 15:56:57;15;55;15:56:45 - 15:56:59;14;53;15:56:52 - 15:57:6;14;46;15:56:53 - 15:57:7;14;46;15:56:54 - 15:57:7;13;47;15:56:56 - 15:57:9;13;45;
grayscaling;15:57:33 - 15:57:51 (27);18;66;15:57:34 - 15:57:52 (31);18;66;15:57:35 - 15:57:53 (25);18;66;15:57:36 - 15:57:54 (30);18;65;15:57:51 - 15:58:9 (27);18;77;15:57:51 - 15:58:9 (24);18;78;15:57:52 - 15:58:10 (26);18;78;15:57:52 - 15:58:10 (29);18;79;15:57:52 - 15:58:10 (31);18;89;15:57:53 - 15:58:11 (25);18;88;15:57:54 - 15:58:12 (28);18;88;15:57:54 - 15:58:12 (30);18;88;
errosion;15:58:57 - 15:59:26 (31);29;;15:58:58 - 15:59:27 (25);29;;15:58:59 - 15:59:28 (28);29;;15:58:59 - 15:59:29 (30);30;;15:59:26 - 15:59:54 (31);28;;15:59:27 - 15:59:55 (25);28;;15:59:28 - 15:59:56 (28);28;;15:59:29 - 15:59:57 (30);28;;15:59:39 - 16:0:6 (27);27;;15:59:39 - 16:0:7 (24);28;;15:59:40 - 16:0:8 (26);28;;15:59:40 - 16:0:8 (29);28;;


