sep=;
14sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;16:20:27 - 16:20:41;14;12;16:20:27 - 16:20:41;14;12;16:20:27 - 16:20:43;16;10;16:20:27 - 16:20:46;19;7;16:20:27 - 16:20:40;13;13;16:20:27 - 16:20:40;13;13;16:20:27 - 16:20:41;14;12;16:20:27 - 16:20:40;13;13;16:20:40 - 16:20:51;11;12;16:20:40 - 16:20:52;12;11;16:20:40 - 16:20:53;13;11;16:20:41 - 16:20:53;12;11;16:20:41 - 16:20:52;11;12;16:20:41 - 16:20:53;12;11;
grayscaling;16:20:53 - 16:21:7 (24);14;31;16:20:53 - 16:21:3 (27);10;25;16:20:53 - 16:21:4 (26);11;32;16:20:53 - 16:21:4 (30);11;32;16:20:53 - 16:21:3 (25);10;25;16:20:53 - 16:21:4 (31);11;25;16:20:53 - 16:21:5 (29);12;32;16:20:53 - 16:21:4 (28);11;27;16:21:3 - 16:21:16 (25);13;35;16:21:3 - 16:21:14 (27);11;35;16:21:4 - 16:21:13 (31);9;33;16:21:4 - 16:21:13 (28);9;35;16:21:4 - 16:21:15 (26);11;35;16:21:4 - 16:21:14 (30);10;34;
errosion;16:21:38 - 16:21:50 (27);12;;16:21:28 - 16:21:46 (26);18;;16:21:36 - 16:21:51 (28);15;;16:21:36 - 16:21:49 (31);13;;16:21:28 - 16:21:48 (25);20;;16:21:29 - 16:21:52 (29);23;;16:21:37 - 16:21:54 (30);17;;16:21:31 - 16:21:48 (24);17;;16:21:51 - 16:22:14 (28);23;;16:21:49 - 16:22:12 (31);23;;16:21:46 - 16:22:9 (26);23;;16:21:48 - 16:22:11 (25);23;;16:21:50 - 16:22:13 (27);23;;16:21:48 - 16:22:12 (24);24;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;16:21:5 - 16:21:17;12;35;16:21:7 - 16:21:19;12;35;16:21:13 - 16:21:25;12;35;16:21:13 - 16:21:26;13;35;16:21:14 - 16:21:26;12;41;16:21:14 - 16:21:26;12;43;16:21:15 - 16:21:28;13;41;16:21:16 - 16:21:28;12;43;16:21:17 - 16:21:29;12;43;16:21:19 - 16:21:31;12;41;16:21:25 - 16:21:36;11;37;16:21:26 - 16:21:36;10;38;16:21:26 - 16:21:37;11;38;16:21:26 - 16:21:38;12;39;
grayscaling;16:21:52 - 16:22:0 (29);8;36;16:21:54 - 16:22:1 (30);7;36;16:22:0 - 16:22:7 (29);7;34;16:22:1 - 16:22:9 (30);8;33;16:22:7 - 16:22:15 (29);8;29;16:22:9 - 16:22:17 (30);8;27;16:22:9 - 16:22:17 (26);8;27;16:22:11 - 16:22:19 (25);8;26;16:22:12 - 16:22:20 (24);8;37;16:22:12 - 16:22:20 (31);8;39;16:22:13 - 16:22:21 (27);8;40;16:22:14 - 16:22:22 (28);8;42;16:22:15 - 16:22:23 (29);8;42;16:22:17 - 16:22:25 (30);8;42;
errosion;16:22:36 - 16:22:59 (29);23;;16:22:37 - 16:23:1 (30);24;;16:22:41 - 16:23:4 (26);23;;16:22:42 - 16:23:5 (25);23;;16:22:44 - 16:23:7 (24);23;;16:22:44 - 16:23:7 (31);23;;16:22:44 - 16:23:9 (27);25;;16:22:45 - 16:22:57 (28);12;;16:22:57 - 16:23:10 (28);13;;16:22:59 - 16:23:12 (29);13;;16:23:1 - 16:23:13 (30);12;;16:23:4 - 16:23:18 (26);14;;16:23:5 - 16:23:19 (25);14;;16:23:7 - 16:23:21 (24);14;;


