sep=;
16sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;17:47:29 - 17:47:45;16;10;17:47:29 - 17:47:42;13;13;17:47:29 - 17:47:42;13;13;17:47:29 - 17:47:42;13;13;17:47:29 - 17:47:42;13;13;17:47:29 - 17:47:45;16;10;17:47:29 - 17:47:43;14;12;17:47:29 - 17:47:46;17;9;17:47:42 - 17:47:55;13;10;17:47:42 - 17:47:55;13;10;17:47:42 - 17:47:54;12;11;17:47:42 - 17:47:54;12;11;17:47:43 - 17:47:55;12;10;17:47:45 - 17:47:54;9;12;17:47:45 - 17:47:55;10;11;17:47:46 - 17:47:55;9;14;
grayscaling;17:47:55 - 17:48:5 (31);10;9;17:47:55 - 17:48:5 (30);10;8;17:47:55 - 17:48:5 (28);10;9;17:47:55 - 17:48:6 (29);11;36;17:47:55 - 17:48:5 (25);10;8;17:47:55 - 17:48:5 (27);10;9;17:47:55 - 17:48:9 (26);14;35;17:47:55 - 17:48:6 (24);11;35;17:48:5 - 17:48:14 (30);9;36;17:48:5 - 17:48:13 (25);8;32;17:48:5 - 17:48:16 (27);11;40;17:48:5 - 17:48:13 (31);8;31;17:48:5 - 17:48:14 (28);9;31;17:48:6 - 17:48:14 (24);8;36;17:48:6 - 17:48:15 (29);9;40;17:48:9 - 17:48:16 (26);7;40;
errosion;17:48:14 - 17:48:32 (24);18;;17:48:13 - 17:48:33 (31);20;;17:48:14 - 17:48:30 (30);16;;17:48:42 - 17:48:55 (24);13;;17:48:13 - 17:48:30 (25);17;;17:48:14 - 17:48:30 (28);16;;17:48:44 - 17:48:56 (31);12;;17:48:41 - 17:48:56 (25);15;;17:48:50 - 17:49:10 (28);20;;17:48:45 - 17:48:59 (29);14;;17:48:56 - 17:49:16 (31);20;;17:48:44 - 17:48:57 (27);13;;17:48:45 - 17:49:1 (26);16;;17:48:50 - 17:49:10 (30);20;;17:48:55 - 17:49:16 (24);21;;17:48:56 - 17:49:16 (25);20;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;17:48:15 - 17:48:24;9;33;17:48:16 - 17:48:25;9;34;17:48:16 - 17:48:24;8;37;17:48:24 - 17:48:34;10;30;17:48:24 - 17:48:34;10;31;17:48:25 - 17:48:35;10;32;17:48:30 - 17:48:40;10;30;17:48:30 - 17:48:40;10;30;17:48:30 - 17:48:41;11;29;17:48:32 - 17:48:42;10;30;17:48:33 - 17:48:44;11;30;17:48:34 - 17:48:44;10;32;17:48:34 - 17:48:45;11;31;17:48:35 - 17:48:45;10;31;17:48:40 - 17:48:50;10;27;17:48:40 - 17:48:50;10;27;
grayscaling;17:48:57 - 17:49:4 (27);7;13;17:48:59 - 17:49:5 (29);6;14;17:49:1 - 17:49:7 (26);6;14;17:49:4 - 17:49:10 (27);6;13;17:49:5 - 17:49:12 (29);7;11;17:49:7 - 17:49:14 (26);7;9;17:49:10 - 17:49:17 (28);7;7;17:49:10 - 17:49:17 (30);7;7;17:49:10 - 17:49:17 (27);7;21;17:49:12 - 17:49:19 (29);7;20;17:49:14 - 17:49:21 (26);7;21;17:49:16 - 17:49:23 (24);7;20;17:49:16 - 17:49:23 (25);7;21;17:49:16 - 17:49:23 (31);7;21;17:49:17 - 17:49:24 (28);7;20;17:49:17 - 17:49:24 (30);7;20;
errosion;17:49:17 - 17:49:38 (27);21;;17:49:19 - 17:49:39 (29);20;;17:49:21 - 17:49:42 (26);21;;17:49:23 - 17:49:43 (24);20;;17:49:23 - 17:49:44 (25);21;;17:49:23 - 17:49:44 (31);21;;17:49:24 - 17:49:44 (28);20;;17:49:24 - 17:49:44 (30);20;;17:49:38 - 17:49:58 (27);20;;17:49:39 - 17:50:0 (29);21;;17:49:42 - 17:50:2 (26);20;;17:49:43 - 17:50:4 (24);21;;17:49:44 - 17:50:4 (25);20;;17:49:44 - 17:50:5 (31);21;;17:49:44 - 17:50:5 (28);21;;17:49:44 - 17:50:5 (30);21;;
