sep=;
6sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:42:13 - 18:42:36;23;2;18:42:13 - 18:42:37;24;1;18:42:13 - 18:42:36;23;2;18:42:13 - 18:42:38;25;0;18:42:13 - 18:42:36;23;2;18:42:13 - 18:42:37;24;1;
grayscaling;18:42:38 - 18:43:1 (28);23;2;18:42:38 - 18:43:4 (27);26;24;18:42:38 - 18:43:2 (30);24;9;18:42:38 - 18:43:3 (25);25;23;18:42:38 - 18:43:2 (31);24;8;18:42:38 - 18:43:1 (26);23;3;
errosion;18:43:3 - 18:43:39 (25);36;;18:43:28 - 18:43:59 (26);31;;18:43:11 - 18:43:45 (29);34;;18:43:26 - 18:43:53 (28);27;;18:43:10 - 18:43:47 (24);37;;18:43:4 - 18:43:40 (27);36;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:42:38 - 18:43:11;33;18;18:42:38 - 18:43:10;32;19;18:43:1 - 18:43:26;25;13;18:43:1 - 18:43:28;27;12;18:43:2 - 18:43:29;27;16;18:43:2 - 18:43:29;27;18;
grayscaling;18:43:29 - 18:43:54 (31);25;11;18:43:29 - 18:43:52 (30);23;11;18:43:39 - 18:43:57 (25);18;22;18:43:40 - 18:43:59 (27);19;22;18:43:45 - 18:44:3 (29);18;19;18:43:47 - 18:44:5 (24);18;18;
errosion;18:44:5 - 18:44:42 (24);37;;18:44:3 - 18:44:39 (29);36;;18:44:19 - 18:44:51 (28);32;;18:44:21 - 18:44:53 (30);32;;18:44:22 - 18:44:55 (31);33;;18:44:23 - 18:44:55 (25);32;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:43:52 - 18:44:21;29;7;18:43:53 - 18:44:19;26;9;18:43:54 - 18:44:22;28;17;18:43:57 - 18:44:23;26;19;18:43:59 - 18:44:27;28;20;18:43:59 - 18:44:28;29;20;
grayscaling;18:44:28 - 18:44:48 (27);20;19;18:44:28 - 18:44:47 (26);19;19;18:44:39 - 18:44:58 (29);19;42;18:44:42 - 18:45:1 (24);19;40;18:44:47 - 18:45:6 (26);19;68;18:44:48 - 18:45:7 (27);19;68;
errosion;18:45:7 - 18:45:41 (27);34;;18:45:6 - 18:45:40 (26);34;;18:45:40 - 18:46:14 (26);34;;18:45:41 - 18:46:15 (27);34;;18:46:14 - 18:46:45 (26);31;;18:46:15 - 18:46:46 (27);31;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:44:51 - 18:46:25;94;8;18:44:53 - 18:46:27;94;6;18:44:55 - 18:46:28;93;5;18:44:55 - 18:46:29;94;4;18:44:58 - 18:46:31;93;2;18:45:1 - 18:46:33;92;0;
grayscaling;18:46:33 - 18:47:33 (29);60;103;18:46:33 - 18:47:33 (24);60;1;18:46:33 - 18:47:34 (31);61;112;18:46:33 - 18:47:33 (28);60;102;18:46:33 - 18:47:33 (25);60;1;18:46:33 - 18:47:34 (30);61;112;
errosion;18:49:16 - 18:51:8 (27);112;;18:47:34 - 18:49:26 (31);112;;18:49:26 - 18:51:18 (31);112;;18:49:15 - 18:51:7 (26);112;;18:47:34 - 18:49:26 (30);112;;18:49:26 - 18:51:18 (30);112;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:46:45 - 18:49:15;150;48;18:46:46 - 18:49:16;150;47;18:47:33 - 18:50:3;150;0;18:47:33 - 18:50:3;150;0;18:47:33 - 18:50:3;150;64;18:47:33 - 18:50:3;150;65;
grayscaling;18:50:3 - 18:51:35 (28);92;0;18:50:3 - 18:51:36 (29);93;0;18:50:3 - 18:51:35 (25);92;0;18:50:3 - 18:51:35 (24);92;0;18:51:7 - 18:52:28 (26);81;0;18:51:8 - 18:52:30 (27);82;0;
errosion;18:51:35 - 18:53:55 (28);140;;18:51:36 - 18:53:55 (29);139;;18:51:35 - 18:53:55 (25);140;;18:51:35 - 18:53:55 (24);140;;18:52:28 - 18:54:40 (26);132;;18:52:30 - 18:54:42 (27);132;;


6sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:54:42 - 18:55:3;21;7;18:54:42 - 18:55:4;22;7;18:54:42 - 18:55:4;22;7;18:54:42 - 18:55:4;22;7;18:54:42 - 18:55:3;21;8;18:54:42 - 18:55:4;22;8;
grayscaling;6:55:10 - 6:56:3 (184);53;0;6:55:11 - 6:56:6 (182);55;0;6:55:11 - 6:56:8 (27);57;1;6:55:11 - 6:56:9 (181);58;1;6:55:11 - 6:56:11 (88);60;0;6:55:12 - 6:56:12 (114);60;0;
errosion;6:56:3 - 6:56:4 (150);1;;6:56:6 - 6:56:6 (182);0;;6:56:9 - 6:56:9 (119);0;;6:56:10 - 6:56:11 (150);1;;6:56:11 - 6:56:12 (94);1;;6:56:12 - 6:56:13 (27);1;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:55:4 - 18:55:28;24;0;18:55:4 - 18:55:28;24;0;18:55:4 - 18:55:28;24;0;18:55:4 - 18:55:28;24;0;18:55:4 - 18:55:28;24;0;18:55:4 - 18:55:28;24;1;
grayscaling;6:55:28 - 6:56:44 (91);76;1;6:55:28 - 6:56:44 (103);76;0;6:55:28 - 6:56:45 (118);77;0;6:55:28 - 6:56:44 (186);76;0;6:55:28 - 6:56:44 (105);76;1;6:55:29 - 6:56:44 (164);75;1;
errosion;6:56:45 - 6:56:45 (186);0;;6:56:44 - 6:56:44 (184);0;;6:56:45 - 6:56:45 (91);0;;6:56:44 - 6:56:45 (181);1;;6:56:45 - 6:56:45 (105);0;;6:56:45 - 6:56:45 (112);0;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:55:28 - 18:55:55;27;0;18:55:28 - 18:55:55;27;0;18:55:28 - 18:55:55;27;0;18:55:28 - 18:55:55;27;1;18:55:28 - 18:55:55;27;1;18:55:28 - 18:55:55;27;1;
grayscaling;6:55:55 - 6:56:58 (125);63;0;6:55:55 - 6:56:58 (126);63;1;6:55:55 - 6:56:58 (29);63;0;6:55:56 - 6:56:58 (180);62;1;6:55:56 - 6:56:58 (100);62;1;6:55:56 - 6:56:58 (183);62;1;
errosion;6:56:58 - 6:56:59 (125);1;;6:56:59 - 6:56:59 (118);0;;6:56:58 - 6:56:58 (181);0;;6:56:59 - 6:56:59 (100);0;;6:56:59 - 6:56:59 (103);0;;6:56:59 - 6:56:59 (126);0;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:55:55 - 18:57:25;90;1;18:55:55 - 18:57:25;90;1;18:55:55 - 18:57:24;89;1;18:55:55 - 18:57:25;90;0;18:55:55 - 18:57:20;85;7;18:55:55 - 18:57:23;88;5;
grayscaling;6:57:26 - 6:59:23 (103);117;1;6:57:26 - 6:59:22 (100);116;1;6:57:25 - 6:59:20 (91);115;1;6:57:25 - 6:59:21 (29);116;1;6:57:27 - 6:59:23 (125);116;1;6:57:28 - 6:59:24 (118);116;1;
errosion;6:59:24 - 6:59:24 (116);0;;6:59:23 - 6:59:23 (87);0;;6:59:21 - 6:59:22 (87);1;;6:59:22 - 6:59:23 (91);1;;6:59:24 - 6:59:25 (91);1;;6:59:25 - 6:59:25 (118);0;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:57:25 - 18:59:45;140;6;18:57:25 - 18:59:48;143;4;18:57:25 - 18:59:48;143;1;18:57:25 - 18:59:48;143;1;18:57:25 - 18:59:48;143;2;18:57:25 - 18:59:46;141;9;
grayscaling;6:59:51 - 7:2:58 (125);187;1;6:59:52 - 7:2:59 (118);187;1;6:59:49 - 7:2:53 (103);184;1;6:59:49 - 7:2:55 (91);186;1;6:59:50 - 7:2:57 (29);187;1;6:59:55 - 7:3:0 (81);185;1;
errosion;7:2:59 - 7:2:59 (91);0;;7:3:0 - 7:3:0 (103);0;;7:2:54 - 7:2:56 (155);2;;7:2:56 - 7:2:57 (155);1;;7:2:58 - 7:2:59 (155);1;;7:3:1 - 7:3:1 (81);0;;


