sep=;
8sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;15:5:8 - 15:5:29;21;1;15:5:8 - 15:5:28;20;2;15:5:8 - 15:5:28;20;2;15:5:8 - 15:5:29;21;1;15:5:8 - 15:5:28;20;2;15:5:8 - 15:5:28;20;2;15:5:8 - 15:5:29;21;1;15:5:8 - 15:5:30;22;0;
grayscaling;15:5:30 - 15:5:46 (29);16;23;15:5:30 - 15:5:46 (25);16;23;15:5:30 - 15:5:48 (30);18;22;15:5:30 - 15:5:47 (26);17;22;15:5:30 - 15:5:49 (24);19;23;15:5:30 - 15:5:46 (27);16;23;15:5:30 - 15:5:47 (28);17;23;15:5:30 - 15:5:48 (31);18;23;
errosion;15:6:9 - 15:6:35 (26);26;;15:6:9 - 15:6:34 (25);25;;15:6:10 - 15:6:36 (27);26;;15:6:9 - 15:6:35 (29);26;;15:6:12 - 15:6:36 (31);24;;15:6:9 - 15:6:34 (30);25;;15:6:10 - 15:6:35 (24);25;;15:6:11 - 15:6:39 (28);28;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;15:5:46 - 15:6:9;23;25;15:5:46 - 15:6:9;23;25;15:5:46 - 15:6:10;24;25;15:5:47 - 15:6:9;22;26;15:5:47 - 15:6:11;24;24;15:5:48 - 15:6:9;21;27;15:5:48 - 15:6:12;24;24;15:5:49 - 15:6:10;21;29;
grayscaling;15:6:34 - 15:6:50 (25);16;21;15:6:34 - 15:6:51 (30);17;22;15:6:35 - 15:6:51 (24);16;21;15:6:35 - 15:6:51 (26);16;22;15:6:35 - 15:6:50 (29);15;22;15:6:36 - 15:6:53 (31);17;21;15:6:36 - 15:6:51 (27);15;21;15:6:39 - 15:6:53 (28);14;20;
errosion;15:7:11 - 15:7:36 (25);25;;15:7:13 - 15:7:35 (30);22;;15:7:12 - 15:7:35 (24);23;;15:7:13 - 15:7:39 (26);26;;15:7:12 - 15:7:35 (29);23;;15:7:14 - 15:7:38 (31);24;;15:7:12 - 15:7:37 (27);25;;15:7:13 - 15:7:36 (28);23;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;15:6:50 - 15:7:11;21;24;15:6:50 - 15:7:12;22;23;15:6:51 - 15:7:12;21;23;15:6:51 - 15:7:12;21;24;15:6:51 - 15:7:13;22;23;15:6:51 - 15:7:13;22;24;15:6:53 - 15:7:13;20;25;15:6:53 - 15:7:14;21;25;
grayscaling;15:7:35 - 15:7:48 (24);13;71;15:7:35 - 15:7:49 (29);14;70;15:7:35 - 15:7:49 (30);14;70;15:7:36 - 15:7:49 (25);13;70;15:7:36 - 15:7:49 (28);13;70;15:7:37 - 15:7:51 (27);14;70;15:7:38 - 15:7:52 (31);14;70;15:7:39 - 15:7:53 (26);14;70;
errosion;15:8:59 - 15:9:39 (24);40;;15:8:59 - 15:9:40 (29);41;;15:8:59 - 15:9:40 (30);41;;15:8:59 - 15:9:40 (25);41;;15:8:59 - 15:9:40 (28);41;;15:9:1 - 15:9:42 (27);41;;15:9:2 - 15:9:43 (31);41;;15:9:3 - 15:9:44 (26);41;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;15:7:48 - 15:8:59;71;40;15:7:49 - 15:8:59;70;41;15:7:49 - 15:8:59;70;41;15:7:49 - 15:8:59;70;41;15:7:49 - 15:8:59;70;41;15:7:51 - 15:9:1;70;41;15:7:52 - 15:9:2;70;41;15:7:53 - 15:9:3;70;41;
grayscaling;15:9:39 - 15:10:25 (24);46;112;15:9:40 - 15:10:25 (29);45;112;15:9:40 - 15:10:25 (25);45;113;15:9:40 - 15:10:25 (28);45;113;15:9:40 - 15:10:25 (30);45;113;15:9:42 - 15:10:27 (27);45;112;15:9:43 - 15:10:28 (31);45;112;15:9:44 - 15:10:29 (26);45;112;
errosion;15:12:17 - 15:14:32 (24);135;;15:12:17 - 15:14:33 (29);136;;15:12:18 - 15:14:33 (25);135;;15:12:18 - 15:14:33 (28);135;;15:12:18 - 15:14:33 (30);135;;15:12:19 - 15:14:34 (27);135;;15:12:20 - 15:14:36 (31);136;;15:12:21 - 15:14:36 (26);135;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;15:10:25 - 15:12:17;112;135;15:10:25 - 15:12:17;112;136;15:10:25 - 15:12:18;113;135;15:10:25 - 15:12:18;113;135;15:10:25 - 15:12:18;113;135;15:10:27 - 15:12:19;112;135;15:10:28 - 15:12:20;112;136;15:10:29 - 15:12:21;112;135;
grayscaling;15:14:32 - 15:15:44 (24);72;0;15:14:33 - 15:15:45 (29);72;0;15:14:33 - 15:15:45 (25);72;0;15:14:33 - 15:15:45 (28);72;0;15:14:33 - 15:15:45 (30);72;0;15:14:34 - 15:15:47 (27);73;0;15:14:36 - 15:15:48 (31);72;0;15:14:36 - 15:15:48 (26);72;0;
errosion;15:15:44 - 15:19:20 (24);216;;15:15:45 - 15:19:21 (29);216;;15:15:45 - 15:19:21 (25);216;;15:15:45 - 15:19:21 (28);216;;15:15:45 - 15:19:21 (30);216;;15:15:47 - 15:19:22 (27);215;;15:15:48 - 15:19:22 (31);214;;15:15:48 - 15:19:23 (26);215;;


8sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;15:19:23 - 15:19:44;21;96;15:19:23 - 15:19:44;21;96;15:19:23 - 15:19:44;21;113;15:19:23 - 15:19:44;21;113;15:19:23 - 15:19:44;21;113;15:19:23 - 15:19:44;21;120;15:19:23 - 15:19:44;21;205;15:19:23 - 15:19:44;21;204;
grayscaling;3:21:20 - 3:21:29 (98);9;137;3:21:20 - 3:21:29 (27);9;134;3:21:37 - 3:21:52 (114);15;114;3:21:37 - 3:21:52 (27);15;114;3:21:37 - 3:21:52 (88);15;112;3:21:44 - 3:21:57 (119);13;107;3:23:9 - 3:24:18 (27);69;0;3:23:8 - 3:24:11 (115);63;0;
errosion;3:23:46 - 3:23:47 (109);1;;3:23:43 - 3:23:44 (91);1;;3:23:46 - 3:23:47 (107);1;;3:23:46 - 3:23:47 (104);1;;3:23:44 - 3:23:45 (109);1;;3:23:44 - 3:23:45 (29);1;;3:24:18 - 3:24:19 (27);1;;3:24:11 - 3:24:12 (29);1;;


