sep=;
10sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;12:56:1 - 12:56:15;14;21;12:56:1 - 12:56:14;13;22;12:56:1 - 12:56:13;12;23;12:56:1 - 12:56:14;13;22;12:56:13 - 12:56:27;14;19;12:56:14 - 12:56:27;13;19;12:56:14 - 12:56:27;13;19;12:56:15 - 12:56:27;12;21;12:56:27 - 12:56:35;8;20;12:56:27 - 12:56:36;9;20;
grayscaling;12:56:36 - 12:56:46 (23);10;42;12:56:36 - 12:56:46 (21);10;37;12:56:36 - 12:56:46 (20);10;39;12:56:36 - 12:56:48 (22);12;41;12:56:46 - 12:56:55 (21);9;45;12:56:46 - 12:56:57 (20);11;47;12:56:46 - 12:56:56 (23);10;46;12:56:48 - 12:56:56 (22);8;44;12:56:55 - 12:57:1 (21);6;53;12:56:56 - 12:57:3 (22);7;52;
errosion;12:57:28 - 12:57:44 (20);16;;12:57:23 - 12:57:40 (21);17;;12:57:25 - 12:57:40 (22);15;;12:57:29 - 12:57:42 (23);13;;12:57:40 - 12:57:55 (21);15;;12:57:44 - 12:57:56 (20);12;;12:57:42 - 12:57:55 (23);13;;12:57:40 - 12:57:54 (22);14;;12:57:54 - 12:58:16 (22);22;;12:57:55 - 12:58:16 (21);21;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;12:56:56 - 12:57:7;11;48;12:56:57 - 12:57:7;10;49;12:57:1 - 12:57:12;11;51;12:57:3 - 12:57:14;11;49;12:57:7 - 12:57:17;10;53;12:57:7 - 12:57:18;11;52;12:57:12 - 12:57:23;11;53;12:57:14 - 12:57:25;11;51;12:57:17 - 12:57:28;11;49;12:57:18 - 12:57:29;11;49;
grayscaling;12:57:55 - 12:58:3 (23);8;43;12:57:56 - 12:58:3 (20);7;45;12:58:3 - 12:58:10 (23);7;46;12:58:3 - 12:58:10 (20);7;44;12:58:10 - 12:58:17 (20);7;49;12:58:10 - 12:58:18 (23);8;51;12:58:16 - 12:58:24 (22);8;53;12:58:16 - 12:58:23 (21);7;50;12:58:17 - 12:58:25 (20);8;62;12:58:18 - 12:58:26 (23);8;64;
errosion;12:58:46 - 12:59:6 (20);20;;12:58:48 - 12:59:9 (23);21;;12:58:56 - 12:59:17 (22);21;;12:58:54 - 12:59:13 (21);19;;12:59:6 - 12:59:27 (20);21;;12:59:9 - 12:59:30 (23);21;;12:59:17 - 12:59:38 (22);21;;12:59:13 - 12:59:34 (21);21;;12:59:27 - 12:59:47 (20);20;;12:59:30 - 12:59:51 (23);21;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;12:58:23 - 12:58:33;10;61;12:58:24 - 12:58:35;11;63;12:58:25 - 12:58:36;11;64;12:58:26 - 12:58:38;12;67;12:58:33 - 12:58:44;11;63;12:58:35 - 12:58:46;11;61;12:58:36 - 12:58:46;10;65;12:58:38 - 12:58:48;10;64;12:58:44 - 12:58:54;10;60;12:58:46 - 12:58:56;10;58;
grayscaling;12:59:34 - 12:59:40 (21);6;91;12:59:38 - 12:59:45 (22);7;86;12:59:40 - 12:59:47 (21);7;104;12:59:45 - 12:59:52 (22);7;100;12:59:47 - 12:59:54 (21);7;109;12:59:47 - 12:59:54 (20);7;111;12:59:51 - 12:59:58 (23);7;114;12:59:52 - 12:59:58 (22);6;115;12:59:54 - 13:0:1 (21);7;124;12:59:54 - 13:0:1 (20);7;123;
errosion;13:1:11 - 13:1:32 (23);21;;13:1:11 - 13:1:31 (21);20;;13:1:31 - 13:1:52 (21);21;;13:1:32 - 13:1:53 (23);21;;13:1:43 - 13:2:4 (20);21;;13:1:45 - 13:2:5 (22);20;;13:1:52 - 13:2:12 (21);20;;13:1:53 - 13:2:13 (23);20;;13:2:5 - 13:2:25 (22);20;;13:2:4 - 13:2:24 (20);20;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;12:59:58 - 13:0:34;36;98;12:59:58 - 13:0:34;36;99;13:0:1 - 13:0:35;34;109;13:0:1 - 13:0:36;35;109;13:0:34 - 13:1:11;37;84;13:0:34 - 13:1:10;36;86;13:0:35 - 13:1:10;35;97;13:0:36 - 13:1:11;35;97;13:1:10 - 13:1:43;33;75;13:1:10 - 13:1:45;35;74;
grayscaling;13:2:12 - 13:2:35 (21);23;156;13:2:13 - 13:2:36 (23);23;161;13:2:24 - 13:2:47 (20);23;188;13:2:25 - 13:2:48 (22);23;192;13:2:35 - 13:2:58 (21);23;202;13:2:36 - 13:2:59 (23);23;212;13:2:47 - 13:3:10 (20);23;235;13:2:48 - 13:3:10 (22);22;243;13:2:58 - 13:3:20 (21);22;249;13:2:59 - 13:3:22 (23);23;262;
errosion;13:5:11 - 13:6:20 (21);69;;13:5:17 - 13:6:31 (23);74;;13:5:55 - 13:7:5 (20);70;;13:6:0 - 13:7:13 (22);73;;13:6:20 - 13:7:29 (21);69;;13:6:31 - 13:7:44 (23);73;;13:7:5 - 13:8:13 (20);68;;13:7:13 - 13:8:25 (22);72;;13:7:29 - 13:8:38 (21);69;;13:7:44 - 13:8:53 (23);69;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;13:3:10 - 13:4:5;55;248;13:3:10 - 13:4:7;57;258;13:3:20 - 13:4:16;56;262;13:3:22 - 13:4:19;57;269;13:4:5 - 13:5:1;56;232;13:4:7 - 13:5:4;57;238;13:4:16 - 13:5:11;55;243;13:4:19 - 13:5:17;58;248;13:5:1 - 13:5:55;54;215;13:5:4 - 13:6:0;56;218;
grayscaling;13:8:13 - 13:8:48 (20);35;60;13:8:25 - 13:9:2 (22);37;58;13:8:38 - 13:9:14 (21);36;53;13:8:48 - 13:9:25 (20);37;49;13:8:53 - 13:9:30 (23);37;127;13:9:2 - 13:9:38 (22);36;131;13:9:14 - 13:9:48 (21);34;132;13:9:25 - 13:10:0 (20);35;125;13:9:30 - 13:10:7 (23);37;197;13:9:38 - 13:10:14 (22);36;202;
