sep=;
12sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;13:34:23 - 13:34:35;12;21;13:34:23 - 13:34:38;15;18;13:34:23 - 13:34:33;10;23;13:34:23 - 13:34:34;11;22;13:34:33 - 13:34:44;11;22;13:34:34 - 13:34:46;12;20;13:34:35 - 13:34:46;11;21;13:34:38 - 13:34:47;9;21;13:34:44 - 13:34:54;10;20;13:34:46 - 13:34:55;9;19;13:34:46 - 13:34:55;9;20;13:34:47 - 13:34:56;9;21;
grayscaling;13:34:56 - 13:35:6 (22);10;41;13:34:56 - 13:35:7 (21);11;43;13:34:56 - 13:35:8 (20);12;42;13:34:56 - 13:35:6 (23);10;40;13:35:6 - 13:35:14 (23);8;47;13:35:6 - 13:35:14 (22);8;48;13:35:7 - 13:35:15 (21);8;49;13:35:8 - 13:35:17 (20);9;48;13:35:14 - 13:35:20 (23);6;54;13:35:14 - 13:35:21 (22);7;54;13:35:15 - 13:35:22 (21);7;53;13:35:17 - 13:35:23 (20);6;53;
errosion;13:35:47 - 13:36:5 (22);18;;13:35:50 - 13:36:2 (20);12;;13:35:50 - 13:36:4 (21);14;;13:35:46 - 13:36:1 (23);15;;13:36:1 - 13:36:14 (23);13;;13:36:2 - 13:36:16 (20);14;;13:36:4 - 13:36:15 (21);11;;13:36:5 - 13:36:15 (22);10;;13:36:14 - 13:36:31 (23);17;;13:36:15 - 13:36:33 (21);18;;13:36:15 - 13:36:33 (22);18;;13:36:16 - 13:36:35 (20);19;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;13:35:20 - 13:35:29;9;62;13:35:21 - 13:35:29;8;64;13:35:22 - 13:35:31;9;62;13:35:23 - 13:35:32;9;63;13:35:29 - 13:35:38;9;59;13:35:29 - 13:35:38;9;61;13:35:31 - 13:35:41;10;59;13:35:32 - 13:35:41;9;60;13:35:38 - 13:35:46;8;57;13:35:38 - 13:35:47;9;58;13:35:41 - 13:35:50;9;57;13:35:41 - 13:35:50;9;58;
grayscaling;13:36:31 - 13:36:37 (23);6;40;13:36:33 - 13:36:39 (22);6;42;13:36:33 - 13:36:40 (21);7;42;13:36:35 - 13:36:41 (20);6;42;13:36:37 - 13:36:43 (23);6;51;13:36:39 - 13:36:45 (22);6;53;13:36:40 - 13:36:47 (21);7;54;13:36:41 - 13:36:48 (20);7;53;13:36:43 - 13:36:49 (23);6;63;13:36:45 - 13:36:51 (22);6;66;13:36:47 - 13:36:54 (21);7;65;13:36:48 - 13:36:54 (20);6;67;
errosion;13:37:17 - 13:37:34 (23);17;;13:37:21 - 13:37:38 (22);17;;13:37:22 - 13:37:41 (21);19;;13:37:23 - 13:37:41 (20);18;;13:37:34 - 13:37:52 (23);18;;13:37:38 - 13:37:57 (22);19;;13:37:41 - 13:37:59 (21);18;;13:37:41 - 13:38:1 (20);20;;13:37:52 - 13:38:10 (23);18;;13:37:57 - 13:38:15 (22);18;;13:37:59 - 13:38:18 (21);19;;13:38:1 - 13:38:19 (20);18;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;13:36:49 - 13:36:59;10;71;13:36:51 - 13:37:1;10;74;13:36:54 - 13:37:3;9;73;13:36:54 - 13:37:3;9;75;13:36:59 - 13:37:8;9;71;13:37:1 - 13:37:11;10;70;13:37:3 - 13:37:13;10;69;13:37:3 - 13:37:14;11;70;13:37:8 - 13:37:17;9;68;13:37:11 - 13:37:21;10;66;13:37:13 - 13:37:22;9;65;13:37:14 - 13:37:23;9;68;
