sep=;
14sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;14:9:23 - 14:9:34;11;23;14:9:23 - 14:9:33;10;24;14:9:23 - 14:9:34;11;23;14:9:23 - 14:9:33;10;24;14:9:33 - 14:9:43;10;21;14:9:33 - 14:9:43;10;22;14:9:34 - 14:9:44;10;21;14:9:34 - 14:9:43;9;24;14:9:43 - 14:9:50;7;21;14:9:43 - 14:9:51;8;21;14:9:43 - 14:9:51;8;21;14:9:44 - 14:9:52;8;21;14:9:50 - 14:9:56;6;20;14:9:51 - 14:9:57;6;19;
grayscaling;14:9:57 - 14:10:5 (20);8;39;14:9:57 - 14:10:5 (21);8;43;14:9:57 - 14:10:4 (23);7;40;14:9:57 - 14:10:7 (22);10;42;14:10:4 - 14:10:11 (23);7;47;14:10:5 - 14:10:12 (20);7;46;14:10:5 - 14:10:13 (21);8;46;14:10:7 - 14:10:12 (22);5;47;14:10:11 - 14:10:16 (23);5;52;14:10:12 - 14:10:16 (20);4;52;14:10:12 - 14:10:17 (22);5;51;14:10:13 - 14:10:18 (21);5;51;14:10:16 - 14:10:20 (23);4;62;14:10:16 - 14:10:21 (20);5;61;
errosion;14:10:44 - 14:10:58 (23);14;;14:10:48 - 14:10:59 (22);11;;14:10:44 - 14:10:58 (20);14;;14:10:49 - 14:10:59 (21);10;;14:10:58 - 14:11:8 (23);10;;14:10:58 - 14:11:8 (20);10;;14:10:59 - 14:11:8 (21);9;;14:10:59 - 14:11:9 (22);10;;14:11:8 - 14:11:22 (20);14;;14:11:8 - 14:11:22 (23);14;;14:11:8 - 14:11:23 (21);15;;14:11:9 - 14:11:23 (22);14;;14:11:22 - 14:11:36 (20);14;;14:11:22 - 14:11:38 (23);16;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;14:10:17 - 14:10:25;8;58;14:10:18 - 14:10:25;7;58;14:10:20 - 14:10:28;8;60;14:10:21 - 14:10:28;7;60;14:10:25 - 14:10:33;8;60;14:10:25 - 14:10:32;7;61;14:10:28 - 14:10:36;8;60;14:10:28 - 14:10:36;8;62;14:10:32 - 14:10:40;8;58;14:10:33 - 14:10:41;8;57;14:10:36 - 14:10:44;8;57;14:10:36 - 14:10:44;8;58;14:10:40 - 14:10:48;8;54;14:10:41 - 14:10:49;8;55;
grayscaling;14:11:23 - 14:11:28 (21);5;45;14:11:23 - 14:11:28 (22);5;45;14:11:28 - 14:11:33 (21);5;45;14:11:28 - 14:11:33 (22);5;45;14:11:33 - 14:11:38 (21);5;50;14:11:33 - 14:11:38 (22);5;50;14:11:36 - 14:11:41 (20);5;52;14:11:38 - 14:11:42 (21);4;61;14:11:38 - 14:11:42 (23);4;51;14:11:38 - 14:11:44 (22);6;59;14:11:41 - 14:11:47 (20);6;61;14:11:42 - 14:11:47 (23);5;62;14:11:42 - 14:11:48 (21);6;70;14:11:44 - 14:11:49 (22);5;71;
errosion;14:12:13 - 14:12:28 (21);15;;14:12:13 - 14:12:28 (22);15;;14:12:18 - 14:12:33 (20);15;;14:12:18 - 14:12:33 (23);15;;14:12:28 - 14:12:43 (22);15;;14:12:28 - 14:12:43 (21);15;;14:12:33 - 14:12:49 (20);16;;14:12:43 - 14:12:58 (22);15;;14:12:33 - 14:12:48 (23);15;;14:12:43 - 14:13:0 (21);17;;14:12:48 - 14:13:2 (23);14;;14:12:49 - 14:13:4 (20);15;;14:12:58 - 14:13:12 (22);14;;14:13:0 - 14:13:15 (21);15;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;14:11:47 - 14:11:55;8;67;14:11:47 - 14:11:55;8;69;14:11:48 - 14:11:56;8;71;14:11:49 - 14:11:57;8;72;14:11:55 - 14:12:2;7;70;14:11:55 - 14:12:3;8;69;14:11:56 - 14:12:4;8;70;14:11:57 - 14:12:5;8;70;14:12:2 - 14:12:10;8;66;14:12:3 - 14:12:10;7;67;14:12:4 - 14:12:13;9;66;14:12:5 - 14:12:13;8;67;14:12:10 - 14:12:18;8;63;14:12:10 - 14:12:18;8;64;
grayscaling;14:13:2 - 14:13:7 (23);5;97;14:13:4 - 14:13:9 (20);5;95;14:13:7 - 14:13:12 (23);5;108;14:13:9 - 14:13:14 (20);5;107;14:13:12 - 14:13:16 (23);4;113;14:13:12 - 14:13:17 (22);5;113;14:13:14 - 14:13:19 (20);5;118;14:13:15 - 14:13:20 (21);5;118;14:13:16 - 14:13:21 (23);5;123;14:13:17 - 14:13:22 (22);5;124;14:13:19 - 14:13:24 (20);5;129;14:13:20 - 14:13:25 (21);5;130;14:13:21 - 14:13:26 (23);5;134;14:13:22 - 14:13:27 (22);5;135;
