sep=;
16sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;14:39:26 - 14:39:37;11;22;14:39:26 - 14:39:35;9;24;14:39:26 - 14:39:35;9;24;14:39:26 - 14:39:35;9;24;14:39:35 - 14:39:43;8;23;14:39:35 - 14:39:43;8;23;14:39:35 - 14:39:44;9;23;14:39:37 - 14:39:46;9;21;14:39:43 - 14:39:50;7;22;14:39:43 - 14:39:51;8;21;14:39:44 - 14:39:51;7;21;14:39:46 - 14:39:53;7;21;14:39:50 - 14:39:57;7;19;14:39:51 - 14:39:57;6;19;14:39:51 - 14:39:57;6;20;14:39:53 - 14:39:59;6;19;
grayscaling;14:39:59 - 14:40:6 (22);7;42;14:39:59 - 14:40:7 (23);8;42;14:39:59 - 14:40:7 (21);8;42;14:39:59 - 14:40:6 (20);7;42;14:40:6 - 14:40:12 (20);6;47;14:40:6 - 14:40:12 (22);6;47;14:40:7 - 14:40:12 (23);5;48;14:40:7 - 14:40:14 (21);7;48;14:40:12 - 14:40:16 (22);4;52;14:40:12 - 14:40:16 (20);4;53;14:40:12 - 14:40:17 (23);5;53;14:40:14 - 14:40:18 (21);4;52;14:40:16 - 14:40:20 (22);4;61;14:40:16 - 14:40:20 (20);4;62;14:40:17 - 14:40:21 (23);4;61;14:40:18 - 14:40:23 (21);5;60;
errosion;14:40:48 - 14:41:0 (22);12;;14:40:49 - 14:41:2 (23);13;;14:40:49 - 14:40:59 (21);10;;14:40:48 - 14:40:59 (20);11;;14:40:59 - 14:41:9 (21);10;;14:40:59 - 14:41:8 (20);9;;14:41:0 - 14:41:10 (22);10;;14:41:2 - 14:41:10 (23);8;;14:41:8 - 14:41:21 (20);13;;14:41:9 - 14:41:22 (21);13;;14:41:10 - 14:41:22 (22);12;;14:41:10 - 14:41:23 (23);13;;14:41:21 - 14:41:33 (20);12;;14:41:22 - 14:41:34 (21);12;;14:41:22 - 14:41:35 (22);13;;14:41:23 - 14:41:36 (23);13;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;14:40:20 - 14:40:26;6;67;14:40:20 - 14:40:27;7;67;14:40:21 - 14:40:28;7;67;14:40:23 - 14:40:29;6;67;14:40:26 - 14:40:34;8;63;14:40:27 - 14:40:34;7;65;14:40:28 - 14:40:35;7;64;14:40:29 - 14:40:36;7;64;14:40:34 - 14:40:41;7;60;14:40:34 - 14:40:41;7;62;14:40:35 - 14:40:42;7;62;14:40:36 - 14:40:43;7;61;14:40:41 - 14:40:48;7;58;14:40:41 - 14:40:48;7;59;14:40:42 - 14:40:49;7;59;14:40:43 - 14:40:49;6;60;
grayscaling;14:41:33 - 14:41:37 (20);4;40;14:41:34 - 14:41:39 (21);5;39;14:41:35 - 14:41:39 (22);4;42;14:41:36 - 14:41:40 (23);4;42;14:41:37 - 14:41:41 (20);4;50;14:41:39 - 14:41:43 (21);4;48;14:41:39 - 14:41:44 (22);5;51;14:41:40 - 14:41:44 (23);4;51;14:41:41 - 14:41:46 (20);5;58;14:41:43 - 14:41:47 (21);4;57;14:41:44 - 14:41:48 (22);4;59;14:41:44 - 14:41:49 (23);5;59;14:41:46 - 14:41:50 (20);4;67;14:41:47 - 14:41:51 (21);4;66;14:41:48 - 14:41:53 (22);5;68;14:41:49 - 14:41:54 (23);5;68;
errosion;14:42:17 - 14:42:31 (20);14;;14:42:18 - 14:42:31 (21);13;;14:42:21 - 14:42:35 (22);14;;14:42:22 - 14:42:35 (23);13;;14:42:31 - 14:42:44 (20);13;;14:42:31 - 14:42:44 (21);13;;14:42:35 - 14:42:47 (22);12;;14:42:35 - 14:42:48 (23);13;;14:42:44 - 14:42:57 (20);13;;14:42:44 - 14:42:57 (21);13;;14:42:47 - 14:43:1 (22);14;;14:42:48 - 14:43:2 (23);14;;14:42:57 - 14:43:10 (20);13;;14:42:57 - 14:43:10 (21);13;;14:43:1 - 14:43:15 (22);14;;14:43:2 - 14:43:16 (23);14;;
