sep=;
4sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;
preparation;11:32:26 - 11:32:46;20;1;11:32:26 - 11:32:46;20;1;11:32:26 - 11:32:47;21;0;11:32:26 - 11:32:47;21;0;
grayscaling;11:32:47 - 11:33:16 (20);29;24;11:32:47 - 11:33:17 (22);30;23;11:32:47 - 11:33:17 (23);30;24;11:32:47 - 11:33:17 (21);30;23;
errosion;11:33:40 - 11:34:5 (22);25;;11:33:40 - 11:34:5 (21);25;;11:33:41 - 11:34:6 (20);25;;11:33:40 - 11:34:6 (23);26;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;
preparation;11:33:16 - 11:33:41;25;24;11:33:17 - 11:33:40;23;25;11:33:17 - 11:33:40;23;26;11:33:17 - 11:33:40;23;26;
grayscaling;11:34:5 - 11:34:21 (22);16;22;11:34:5 - 11:34:22 (21);17;22;11:34:6 - 11:34:22 (23);16;22;11:34:6 - 11:34:21 (20);15;23;
errosion;11:34:43 - 11:35:7 (22);24;;11:34:44 - 11:35:8 (23);24;;11:34:44 - 11:35:9 (21);25;;11:34:44 - 11:35:9 (20);25;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;
preparation;11:34:21 - 11:34:43;22;24;11:34:21 - 11:34:44;23;24;11:34:22 - 11:34:44;22;25;11:34:22 - 11:34:44;22;25;
grayscaling;11:35:7 - 11:35:22 (22);15;75;11:35:8 - 11:35:23 (23);15;74;11:35:9 - 11:35:23 (21);14;75;11:35:9 - 11:35:23 (20);14;75;
errosion;11:36:37 - 11:37:21 (22);44;;11:36:37 - 11:37:21 (20);44;;11:36:38 - 11:37:21 (21);43;;11:36:38 - 11:37:21 (23);43;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;
preparation;11:35:22 - 11:36:37;75;44;11:35:23 - 11:36:38;75;43;11:35:23 - 11:36:37;74;44;11:35:23 - 11:36:38;75;43;
grayscaling;11:37:21 - 11:38:9 (22);48;119;11:37:21 - 11:38:8 (20);47;120;11:37:21 - 11:38:9 (21);48;119;11:37:21 - 11:38:10 (23);49;119;
errosion;11:40:8 - 11:42:25 (22);137;;11:40:8 - 11:42:24 (20);136;;11:40:8 - 11:42:25 (21);137;;11:40:9 - 11:42:26 (23);137;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;
