sep=;
6sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;12:0:24 - 12:0:39;15;16;12:0:24 - 12:0:38;14;17;12:0:24 - 12:0:40;16;15;12:0:24 - 12:0:39;15;16;12:0:38 - 12:0:55;17;13;12:0:39 - 12:0:55;16;13;
grayscaling;12:0:55 - 12:1:8 (23);13;28;12:0:55 - 12:1:8 (20);13;30;12:0:55 - 12:1:8 (21);13;27;12:0:55 - 12:1:9 (22);14;30;12:1:8 - 12:1:20 (21);12;34;12:1:8 - 12:1:20 (23);12;35;
errosion;12:1:36 - 12:1:55 (23);19;;12:1:38 - 12:1:56 (20);18;;12:1:35 - 12:1:54 (21);19;;12:1:39 - 12:1:57 (22);18;;12:1:54 - 12:2:13 (21);19;;12:1:55 - 12:2:13 (23);18;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;12:1:8 - 12:1:23;15;33;12:1:9 - 12:1:24;15;33;12:1:20 - 12:1:35;15;31;12:1:20 - 12:1:36;16;31;12:1:23 - 12:1:38;15;35;12:1:24 - 12:1:39;15;34;
grayscaling;12:1:56 - 12:2:6 (20);10;31;12:1:57 - 12:2:7 (22);10;30;12:2:6 - 12:2:16 (20);10;29;12:2:7 - 12:2:16 (22);9;30;12:2:13 - 12:2:22 (21);9;33;12:2:13 - 12:2:22 (23);9;33;
errosion;12:2:37 - 12:2:55 (21);18;;12:2:37 - 12:2:55 (23);18;;12:2:45 - 12:3:3 (20);18;;12:2:46 - 12:3:5 (22);19;;12:2:55 - 12:3:13 (21);18;;12:2:55 - 12:3:13 (23);18;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;12:2:16 - 12:2:30;14;33;12:2:16 - 12:2:31;15;34;12:2:22 - 12:2:37;15;36;12:2:22 - 12:2:37;15;36;12:2:30 - 12:2:45;15;28;12:2:31 - 12:2:46;15;28;
grayscaling;12:3:3 - 12:3:13 (20);10;60;12:3:5 - 12:3:14 (22);9;59;12:3:13 - 12:3:22 (20);9;69;12:3:13 - 12:3:23 (21);10;68;12:3:13 - 12:3:23 (23);10;86;12:3:14 - 12:3:24 (22);10;86;
errosion;12:4:13 - 12:4:31 (23);18;;12:4:13 - 12:4:31 (22);18;;12:4:31 - 12:4:49 (22);18;;12:4:31 - 12:4:50 (23);19;;12:4:49 - 12:5:7 (22);18;;12:4:50 - 12:5:8 (23);18;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;12:3:22 - 12:4:12;50;50;12:3:23 - 12:4:12;49;50;12:3:23 - 12:4:13;50;54;12:3:24 - 12:4:13;49;55;12:4:12 - 12:5:1;49;33;12:4:12 - 12:5:2;50;32;
grayscaling;12:5:2 - 12:5:34 (20);32;110;12:5:2 - 12:5:34 (21);32;110;12:5:7 - 12:5:40 (22);33;156;12:5:8 - 12:5:40 (23);32;155;12:5:34 - 12:6:6 (20);32;136;12:5:34 - 12:6:5 (21);31;137;
errosion;12:7:24 - 12:8:22 (21);58;;12:7:24 - 12:8:22 (20);58;;12:8:16 - 12:9:13 (22);57;;12:8:15 - 12:9:12 (23);57;;12:8:22 - 12:9:19 (20);57;;12:8:22 - 12:9:19 (21);57;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;12:5:40 - 12:6:58;78;134;12:5:40 - 12:6:58;78;135;12:6:5 - 12:7:24;79;115;12:6:6 - 12:7:24;78;115;12:6:58 - 12:8:15;77;106;12:6:58 - 12:8:16;78;106;
grayscaling;12:9:12 - 12:10:1 (23);49;7;12:9:13 - 12:10:2 (22);49;6;12:9:19 - 12:10:8 (21);49;42;12:9:19 - 12:10:8 (20);49;43;12:10:1 - 12:10:50 (23);49;48;12:10:2 - 12:10:51 (22);49;48;
errosion;12:10:8 - 12:11:38 (21);90;;12:10:8 - 12:11:39 (20);91;;12:10:50 - 12:12:21 (23);91;;12:10:51 - 12:12:22 (22);91;;12:11:38 - 12:13:8 (21);90;;12:11:39 - 12:13:8 (20);89;;


6sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;12:13:8 - 12:13:23;15;15;12:13:8 - 12:13:23;15;19;12:13:8 - 12:13:23;15;20;12:13:8 - 12:13:23;15;20;12:13:23 - 12:13:37;14;6;12:13:23 - 12:13:37;14;7;
grayscaling;0:13:38 - 0:14:5 (30);27;1;0:13:42 - 0:14:22 (118);40;0;0:13:43 - 0:14:28 (86);45;0;0:13:43 - 0:14:28 (104);45;1;0:13:43 - 0:14:30 (102);47;0;0:13:44 - 0:14:30 (123);46;0;
errosion;0:14:6 - 0:14:6 (30);0;;0:14:22 - 0:14:23 (94);1;;0:14:28 - 0:14:29 (118);1;;0:14:29 - 0:14:29 (100);0;;0:14:30 - 0:14:30 (100);0;;0:14:30 - 0:14:31 (35);1;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;12:13:38 - 12:13:53;15;14;12:13:38 - 12:13:54;16;13;12:13:38 - 12:13:54;16;17;12:13:38 - 12:13:54;16;14;12:13:53 - 12:14:8;15;5;12:13:54 - 12:14:8;14;4;
grayscaling;0:14:7 - 0:15:5 (87);58;1;0:14:7 - 0:15:7 (30);60;1;0:14:11 - 0:15:11 (107);60;0;0:14:8 - 0:15:6 (121);58;0;0:14:13 - 0:15:13 (84);60;0;0:14:12 - 0:15:12 (109);60;0;
errosion;0:15:6 - 0:15:6 (87);0;;0:15:8 - 0:15:8 (30);0;;0:15:11 - 0:15:11 (121);0;;0:15:6 - 0:15:6 (121);0;;0:15:13 - 0:15:13 (109);0;;0:15:12 - 0:15:12 (109);0;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
