sep=;
8sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;12:24:34 - 12:24:46;12;13;12:24:34 - 12:24:47;13;12;12:24:34 - 12:24:46;12;13;12:24:34 - 12:24:46;12;13;12:24:46 - 12:24:58;12;11;12:24:46 - 12:24:58;12;11;12:24:46 - 12:24:59;13;10;12:24:47 - 12:24:59;12;11;
grayscaling;12:24:59 - 12:25:9 (21);10;31;12:24:59 - 12:25:9 (23);10;31;12:24:59 - 12:25:10 (20);11;31;12:24:59 - 12:25:9 (22);10;31;12:25:9 - 12:25:18 (21);9;37;12:25:9 - 12:25:18 (23);9;37;12:25:9 - 12:25:19 (22);10;37;12:25:10 - 12:25:18 (20);8;37;
errosion;12:25:40 - 12:25:55 (23);15;;12:25:40 - 12:25:55 (21);15;;12:25:41 - 12:25:55 (22);14;;12:25:40 - 12:25:56 (20);16;;12:25:55 - 12:26:17 (23);22;;12:25:55 - 12:26:17 (22);22;;12:25:56 - 12:26:18 (20);22;;12:25:55 - 12:26:17 (21);22;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;12:25:18 - 12:25:29;11;48;12:25:18 - 12:25:29;11;48;12:25:18 - 12:25:30;12;47;12:25:19 - 12:25:30;11;48;12:25:29 - 12:25:40;11;44;12:25:29 - 12:25:40;11;44;12:25:30 - 12:25:40;10;44;12:25:30 - 12:25:41;11;45;
grayscaling;12:26:17 - 12:26:24 (22);7;30;12:26:17 - 12:26:24 (23);7;30;12:26:17 - 12:26:24 (21);7;30;12:26:18 - 12:26:26 (20);8;29;12:26:24 - 12:26:32 (22);8;43;12:26:24 - 12:26:32 (23);8;43;12:26:24 - 12:26:32 (21);8;44;12:26:26 - 12:26:33 (20);7;43;
errosion;12:26:54 - 12:27:15 (22);21;;12:26:54 - 12:27:15 (23);21;;12:26:54 - 12:27:16 (21);22;;12:26:55 - 12:27:16 (20);21;;12:27:15 - 12:27:37 (22);22;;12:27:15 - 12:27:37 (23);22;;12:27:16 - 12:27:38 (21);22;;12:27:16 - 12:27:38 (20);22;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;12:26:32 - 12:26:43;11;54;12:26:32 - 12:26:43;11;54;12:26:32 - 12:26:43;11;55;12:26:33 - 12:26:44;11;54;12:26:43 - 12:26:54;11;50;12:26:43 - 12:26:54;11;51;12:26:43 - 12:26:54;11;51;12:26:44 - 12:26:55;11;51;
grayscaling;12:27:37 - 12:27:44 (22);7;81;12:27:37 - 12:27:45 (23);8;80;12:27:38 - 12:27:45 (21);7;81;12:27:38 - 12:27:46 (20);8;80;12:27:44 - 12:27:51 (22);7;95;12:27:45 - 12:27:52 (23);7;95;12:27:45 - 12:27:52 (21);7;96;12:27:46 - 12:27:53 (20);7;95;
