sep=;
10sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;19:31:24 - 19:31:45;21;2;19:31:24 - 19:31:46;22;1;19:31:24 - 19:31:46;22;1;19:31:24 - 19:31:45;21;2;19:31:24 - 19:31:46;22;1;19:31:24 - 19:31:44;20;3;19:31:24 - 19:31:45;21;2;19:31:24 - 19:31:45;21;2;19:31:24 - 19:31:46;22;1;19:31:24 - 19:31:43;19;4;
grayscaling;19:31:47 - 19:32:9 (35);22;22;19:31:47 - 19:32:10 (29);23;24;19:31:47 - 19:32:12 (26);25;23;19:31:47 - 19:32:11 (32);24;24;19:31:47 - 19:32:9 (31);22;22;19:31:47 - 19:32:10 (34);23;22;19:31:47 - 19:32:10 (28);23;22;19:31:47 - 19:32:10 (33);23;21;19:31:47 - 19:32:11 (27);24;24;19:31:47 - 19:32:10 (30);23;24;
errosion;19:32:31 - 19:32:56 (34);25;;19:32:34 - 19:32:58 (27);24;;19:32:35 - 19:32:59 (28);24;;19:32:35 - 19:33:1 (29);26;;19:32:31 - 19:32:57 (31);26;;19:32:32 - 19:32:57 (35);25;;19:32:32 - 19:33:1 (32);29;;19:32:31 - 19:32:58 (33);27;;19:32:35 - 19:33:4 (26);29;;19:32:34 - 19:32:58 (30);24;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;19:32:9 - 19:32:31;22;25;19:32:9 - 19:32:32;23;25;19:32:10 - 19:32:31;21;26;19:32:10 - 19:32:31;21;27;19:32:10 - 19:32:35;25;23;19:32:10 - 19:32:34;24;24;19:32:10 - 19:32:35;25;24;19:32:11 - 19:32:32;21;29;19:32:11 - 19:32:34;23;27;19:32:12 - 19:32:35;23;29;
grayscaling;19:32:56 - 19:33:13 (34);17;20;19:32:57 - 19:33:13 (35);16;20;19:32:57 - 19:33:14 (31);17;20;19:32:58 - 19:33:13 (30);15;20;19:32:58 - 19:33:18 (27);20;21;19:32:58 - 19:33:16 (33);18;22;19:32:59 - 19:33:14 (28);15;20;19:33:1 - 19:33:16 (32);15;19;19:33:1 - 19:33:16 (29);15;21;19:33:4 - 19:33:33 (26);29;18;
errosion;19:33:33 - 19:33:59 (31);26;;19:33:33 - 19:34:3 (26);30;;19:33:34 - 19:33:59 (32);25;;19:33:33 - 19:33:57 (28);24;;19:33:39 - 19:34:20 (27);41;;19:33:38 - 19:34:0 (33);22;;19:33:34 - 19:34:0 (30);26;;19:33:35 - 19:33:58 (34);23;;19:33:37 - 19:33:59 (29);22;;19:33:51 - 19:34:33 (35);42;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;19:33:13 - 19:33:34;21;23;19:33:13 - 19:33:35;22;23;19:33:13 - 19:33:32;19;27;19:33:14 - 19:33:33;19;26;19:33:14 - 19:33:33;19;26;19:33:16 - 19:33:34;18;26;19:33:16 - 19:33:37;21;23;19:33:16 - 19:33:38;22;25;19:33:18 - 19:33:39;21;41;19:33:32 - 19:33:51;19;33;
grayscaling;19:33:57 - 19:34:24 (28);27;63;19:33:58 - 19:34:25 (34);27;62;19:33:59 - 19:34:26 (31);27;75;19:33:59 - 19:34:26 (32);27;72;19:33:59 - 19:34:27 (29);28;74;19:34:0 - 19:34:27 (33);27;75;19:34:0 - 19:34:28 (30);28;76;19:34:3 - 19:34:31 (26);28;73;19:34:20 - 19:34:46 (27);26;64;19:34:24 - 19:34:49 (28);25;65;
