sep=;
12sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;20:8:17 - 20:8:35;18;7;20:8:17 - 20:8:39;22;3;20:8:17 - 20:8:39;22;3;20:8:17 - 20:8:35;18;7;20:8:17 - 20:8:37;20;5;20:8:17 - 20:8:39;22;3;20:8:17 - 20:8:39;22;3;20:8:17 - 20:8:38;21;4;20:8:17 - 20:8:38;21;4;20:8:17 - 20:8:35;18;7;20:8:17 - 20:8:39;22;3;20:8:17 - 20:8:42;25;1;
grayscaling;20:8:42 - 20:9:11 (39);29;20;20:8:42 - 20:9:12 (33);30;23;20:8:42 - 20:9:12 (30);30;19;20:8:42 - 20:9:12 (29);30;23;20:8:42 - 20:9:7 (35);25;22;20:8:42 - 20:9:8 (36);26;23;20:8:42 - 20:9:7 (31);25;20;20:8:42 - 20:9:8 (28);26;22;20:8:42 - 20:9:8 (32);26;21;20:8:42 - 20:9:13 (37);31;22;20:8:42 - 20:9:12 (38);30;23;20:8:43 - 20:9:12 (34);29;22;
errosion;20:9:31 - 20:10:2 (39);31;;20:9:35 - 20:10:0 (37);25;;20:9:31 - 20:9:52 (33);21;;20:9:35 - 20:10:1 (38);26;;20:9:29 - 20:9:51 (35);22;;20:9:31 - 20:10:1 (28);30;;20:9:27 - 20:9:58 (32);31;;20:9:30 - 20:9:56 (31);26;;20:9:29 - 20:10:7 (36);38;;20:9:35 - 20:9:58 (29);23;;20:9:35 - 20:10:1 (30);26;;20:9:34 - 20:9:55 (34);21;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;20:9:7 - 20:9:30;23;21;20:9:7 - 20:9:29;22;23;20:9:8 - 20:9:27;19;28;20:9:8 - 20:9:31;23;25;20:9:8 - 20:9:29;21;29;20:9:11 - 20:9:31;20;27;20:9:12 - 20:9:35;23;25;20:9:12 - 20:9:34;22;27;20:9:12 - 20:9:35;23;26;20:9:12 - 20:9:31;19;30;20:9:12 - 20:9:35;23;27;20:9:13 - 20:9:35;22;32;
grayscaling;20:9:51 - 20:10:11 (35);20;24;20:9:52 - 20:10:13 (33);21;25;20:9:55 - 20:10:15 (34);20;23;20:9:56 - 20:10:10 (31);14;23;20:9:58 - 20:10:19 (29);21;19;20:9:58 - 20:10:11 (32);13;23;20:10:0 - 20:10:33 (37);33;11;20:10:1 - 20:10:23 (28);22;17;20:10:1 - 20:10:33 (30);32;8;20:10:1 - 20:10:34 (38);33;17;20:10:2 - 20:10:25 (39);23;16;20:10:7 - 20:10:38 (36);31;19;
errosion;20:10:35 - 20:11:3 (33);28;;20:10:38 - 20:11:0 (28);22;;20:10:38 - 20:11:5 (36);27;;20:10:33 - 20:11:2 (37);29;;20:10:38 - 20:11:5 (34);27;;20:10:34 - 20:11:2 (38);28;;20:10:44 - 20:11:9 (29);25;;20:10:40 - 20:11:2 (39);22;;20:10:41 - 20:11:4 (32);23;;20:10:51 - 20:11:15 (31);24;;20:10:41 - 20:11:4 (35);23;;20:10:57 - 20:11:17 (30);20;;
