sep=;
14sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;20:37:38 - 20:38:12;34;1;20:37:38 - 20:38:8;30;5;20:37:38 - 20:38:9;31;4;20:37:38 - 20:38:8;30;5;20:37:38 - 20:38:12;34;1;20:37:38 - 20:38:12;34;1;20:37:38 - 20:38:13;35;0;20:37:38 - 20:38:12;34;1;20:37:38 - 20:38:8;30;5;20:37:38 - 20:38:12;34;1;20:37:38 - 20:38:8;30;5;20:37:38 - 20:38:9;31;4;20:37:38 - 20:38:12;34;1;20:37:38 - 20:38:13;35;0;
grayscaling;20:38:13 - 20:38:29 (39);16;23;20:38:13 - 20:38:39 (40);26;22;20:38:13 - 20:38:31 (42);18;23;20:38:13 - 20:38:29 (31);16;23;20:38:13 - 20:38:31 (30);18;23;20:38:13 - 20:38:32 (38);19;24;20:38:13 - 20:38:38 (33);25;21;20:38:13 - 20:38:33 (43);20;24;20:38:13 - 20:38:28 (37);15;23;20:38:13 - 20:38:30 (34);17;23;20:38:13 - 20:38:31 (35);18;22;20:38:13 - 20:38:32 (41);19;23;20:38:13 - 20:38:28 (32);15;23;20:38:13 - 20:38:28 (36);15;24;
errosion;20:38:52 - 20:39:18 (31);26;;20:39:1 - 20:39:21 (40);20;;20:38:54 - 20:39:19 (39);25;;20:38:52 - 20:39:18 (34);26;;20:38:54 - 20:39:17 (38);23;;20:38:56 - 20:39:20 (30);24;;20:38:59 - 20:39:23 (33);24;;20:38:57 - 20:39:32 (43);35;;20:38:51 - 20:39:19 (37);28;;20:38:53 - 20:39:19 (32);26;;20:38:53 - 20:39:22 (35);29;;20:38:55 - 20:39:20 (42);25;;20:38:51 - 20:39:22 (41);31;;20:38:52 - 20:39:20 (36);28;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;20:38:28 - 20:38:51;23;32;20:38:28 - 20:38:53;25;30;20:38:28 - 20:38:52;24;31;20:38:29 - 20:38:54;25;29;20:38:29 - 20:38:52;23;31;20:38:30 - 20:38:52;22;31;20:38:31 - 20:38:53;22;27;20:38:31 - 20:38:56;25;24;20:38:31 - 20:38:55;24;25;20:38:32 - 20:38:51;19;30;20:38:32 - 20:38:54;22;28;20:38:33 - 20:38:57;24;25;20:38:38 - 20:38:59;21;24;20:38:39 - 20:39:1;22;31;
grayscaling;20:39:23 - 20:39:51 (38);28;19;20:39:23 - 20:39:51 (34);28;19;20:39:23 - 20:39:52 (31);29;19;20:39:23 - 20:39:51 (39);28;19;20:39:23 - 20:39:50 (37);27;19;20:39:23 - 20:39:50 (32);27;19;20:39:20 - 20:39:33 (42);13;19;20:39:20 - 20:39:34 (36);14;19;20:39:20 - 20:39:35 (30);15;27;20:39:21 - 20:39:47 (40);26;18;20:39:22 - 20:39:47 (41);25;18;20:39:22 - 20:39:47 (35);25;21;20:39:23 - 20:39:50 (33);27;19;20:39:32 - 20:40:2 (43);30;12;
errosion;20:40:10 - 20:40:53 (34);43;;20:40:10 - 20:40:50 (36);40;;20:40:11 - 20:40:54 (39);43;;20:40:10 - 20:40:53 (42);43;;20:40:9 - 20:40:50 (33);41;;20:40:9 - 20:40:47 (37);38;;20:39:52 - 20:40:19 (31);27;;20:39:53 - 20:40:20 (30);27;;20:40:2 - 20:40:30 (43);28;;20:40:5 - 20:40:30 (41);25;;20:40:5 - 20:40:35 (40);30;;20:40:8 - 20:40:49 (35);41;;20:40:9 - 20:40:47 (32);38;;20:40:14 - 20:40:56 (38);42;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;20:39:33 - 20:39:50;17;29;20:39:34 - 20:39:51;17;29;20:39:35 - 20:39:53;18;37;20:39:47 - 20:40:5;18;25;20:39:47 - 20:40:5;18;30;20:39:48 - 20:40:8;20;38;20:39:50 - 20:40:9;19;38;20:39:50 - 20:40:9;19;38;20:39:50 - 20:40:9;19;41;20:39:50 - 20:40:10;20;40;20:39:51 - 20:40:10;19;40;20:39:51 - 20:40:10;19;41;20:39:51 - 20:40:11;20;42;20:39:51 - 20:40:14;23;39;
grayscaling;20:40:19 - 20:40:46 (31);27;66;20:40:20 - 20:40:51 (30);31;65;20:40:30 - 20:40:55 (41);25;73;20:40:30 - 20:40:59 (43);29;71;20:40:35 - 20:40:59 (40);24;73;20:40:46 - 20:41:16 (31);30;73;20:40:47 - 20:41:13 (32);26;60;20:40:47 - 20:41:11 (37);24;61;20:40:50 - 20:41:19 (35);29;73;20:40:50 - 20:41:14 (33);24;60;20:40:50 - 20:41:14 (36);24;60;20:40:51 - 20:41:20 (30);29;74;20:40:53 - 20:41:23 (42);30;74;20:40:53 - 20:41:25 (34);32;73;
errosion;20:41:52 - 20:42:29 (41);37;;20:41:56 - 20:42:32 (40);36;;20:42:8 - 20:42:55 (39);47;;20:42:10 - 20:42:46 (37);36;;20:42:12 - 20:42:58 (38);46;;20:42:29 - 20:43:4 (41);35;;20:42:13 - 20:42:50 (33);37;;20:42:12 - 20:42:48 (32);36;;20:42:32 - 20:43:8 (40);36;;20:42:14 - 20:42:50 (36);36;;20:42:14 - 20:43:0 (43);46;;20:42:34 - 20:43:19 (31);45;;20:42:37 - 20:43:23 (35);46;;20:42:38 - 20:43:26 (30);48;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;20:40:54 - 20:42:8;74;35;20:40:55 - 20:41:52;57;54;20:40:56 - 20:42:12;76;34;20:40:59 - 20:42:14;75;34;20:40:59 - 20:41:56;57;54;20:41:11 - 20:42:10;59;41;20:41:13 - 20:42:12;59;43;20:41:14 - 20:42:13;59;45;20:41:14 - 20:42:14;60;46;20:41:16 - 20:42:34;78;30;20:41:19 - 20:42:37;78;31;20:41:20 - 20:42:38;78;41;20:41:23 - 20:42:40;77;43;20:41:25 - 20:42:43;78;43;
grayscaling;20:42:43 - 20:44:22 (42);99;98;20:42:46 - 20:44:6 (37);80;97;20:42:46 - 20:44:24 (34);98;100;20:42:48 - 20:44:9 (32);81;97;20:42:50 - 20:44:10 (36);80;97;20:42:51 - 20:44:12 (33);81;97;20:42:55 - 20:44:32 (39);97;125;20:42:58 - 20:44:35 (38);97;126;20:43:0 - 20:44:37 (43);97;124;20:43:4 - 20:44:25 (41);81;119;20:43:8 - 20:44:29 (40);81;117;20:43:19 - 20:44:56 (31);97;124;20:43:23 - 20:45:0 (35);97;124;20:43:26 - 20:45:3 (30);97;125;
errosion;20:46:0 - 20:47:56 (41);116;;20:45:43 - 20:47:39 (37);116;;20:46:4 - 20:48:5 (40);121;;20:45:46 - 20:47:42 (32);116;;20:45:47 - 20:47:45 (36);118;;20:45:49 - 20:47:48 (33);119;;20:46:37 - 20:49:14 (39);157;;20:46:41 - 20:49:8 (38);147;;20:46:41 - 20:49:15 (43);154;;20:46:24 - 20:49:3 (42);159;;20:46:26 - 20:48:51 (34);145;;20:47:0 - 20:49:27 (31);147;;20:47:4 - 20:49:40 (35);156;;20:47:8 - 20:49:37 (30);149;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;20:44:6 - 20:45:43;97;116;20:44:9 - 20:45:46;97;116;20:44:10 - 20:45:47;97;118;20:44:12 - 20:45:49;97;119;20:44:22 - 20:46:24;122;92;20:44:24 - 20:46:26;122;99;20:44:25 - 20:46:0;95;172;20:44:29 - 20:46:4;95;179;20:44:32 - 20:46:37;125;151;20:44:35 - 20:46:41;126;153;20:44:37 - 20:46:41;124;154;20:44:56 - 20:47:0;124;147;20:45:0 - 20:47:4;124;153;20:45:3 - 20:47:8;125;152;
grayscaling;20:47:39 - 20:49:43 (37);124;0;20:47:42 - 20:49:46 (32);124;0;20:47:45 - 20:49:49 (36);124;0;20:47:48 - 20:50:2 (33);134;0;20:47:56 - 20:50:10 (41);134;0;20:48:5 - 20:50:14 (40);129;0;20:48:52 - 20:51:31 (34);159;0;20:49:3 - 20:51:39 (42);156;0;20:49:8 - 20:51:45 (38);157;0;20:49:14 - 20:51:51 (39);157;0;20:49:15 - 20:51:52 (43);157;0;20:49:27 - 20:52:5 (31);158;0;20:49:37 - 20:52:16 (30);159;0;20:49:40 - 20:52:18 (35);158;0;
errosion;20:49:43 - 20:52:55 (37);192;;20:49:46 - 20:52:56 (32);190;;20:49:49 - 20:52:59 (36);190;;20:50:2 - 20:53:7 (33);185;;20:50:10 - 20:53:13 (41);183;;20:50:14 - 20:53:14 (40);180;;20:51:31 - 20:54:23 (34);172;;20:51:39 - 20:54:27 (42);168;;20:51:45 - 20:54:29 (38);164;;20:51:51 - 20:54:29 (39);158;;20:51:52 - 20:54:31 (43);159;;20:52:5 - 20:54:35 (31);150;;20:52:16 - 20:54:40 (30);144;;20:52:18 - 20:54:40 (35);142;;


14sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;20:54:40 - 20:54:58;18;46;20:54:40 - 20:55:0;20;44;20:54:40 - 20:54:59;19;46;20:54:40 - 20:55:0;20;45;20:54:40 - 20:55:2;22;66;20:54:40 - 20:54:58;18;68;20:54:40 - 20:55:1;21;62;20:54:40 - 20:55:1;21;83;20:54:40 - 20:55:0;20;74;20:54:40 - 20:55:2;22;94;20:54:40 - 20:55:2;22;78;20:54:40 - 20:55:1;21;85;20:54:40 - 20:55:2;22;104;20:54:40 - 20:55:2;22;107;
grayscaling;8:55:44 - 8:55:55 (102);11;190;8:55:44 - 8:55:55 (92);11;191;8:55:45 - 8:55:55 (31);10;192;8:55:45 - 8:55:55 (117);10;190;8:56:8 - 8:56:14 (101);6;172;8:56:6 - 8:56:11 (95);5;175;8:56:3 - 8:56:8 (117);5;182;8:56:24 - 8:56:30 (116);6;160;8:56:14 - 8:56:19 (117);5;168;8:56:36 - 8:56:42 (106);6;145;8:56:20 - 8:56:25 (112);5;162;8:56:26 - 8:56:31 (106);5;157;8:56:46 - 8:56:53 (96);7;137;8:56:49 - 8:57:5 (86);16;123;
errosion;8:59:5 - 8:59:6 (98);1;;8:59:6 - 8:59:7 (86);1;;8:59:7 - 8:59:7 (98);0;;8:59:5 - 8:59:6 (86);1;;8:59:6 - 8:59:7 (128);1;;8:59:6 - 8:59:7 (32);1;;8:59:10 - 8:59:10 (98);0;;8:59:10 - 8:59:11 (128);1;;8:59:7 - 8:59:8 (112);1;;8:59:7 - 8:59:8 (98);1;;8:59:7 - 8:59:8 (128);1;;8:59:8 - 8:59:8 (128);0;;8:59:10 - 8:59:11 (112);1;;8:59:8 - 8:59:8 (32);0;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;20:55:2 - 20:55:20;18;90;20:55:2 - 20:55:23;21;93;20:55:2 - 20:55:23;21;87;20:55:2 - 20:55:23;21;93;20:55:2 - 20:55:20;18;91;20:55:2 - 20:55:20;18;94;20:55:2 - 20:55:23;21;100;20:55:2 - 20:55:23;21;105;20:55:2 - 20:55:23;21;110;20:55:2 - 20:55:20;18;117;20:55:2 - 20:55:20;18;122;20:55:2 - 20:55:20;18;123;20:55:2 - 20:55:23;21;126;20:55:2 - 20:55:24;22;124;
grayscaling;8:56:50 - 8:57:5 (93);15;122;8:56:56 - 8:57:12 (120);16;118;8:56:50 - 8:57:6 (114);16;122;8:56:56 - 8:57:12 (121);16;115;8:56:51 - 8:57:7 (99);16;121;8:56:54 - 8:57:9 (98);15;120;8:57:3 - 8:57:14 (92);11;115;8:57:8 - 8:57:16 (99);8;114;8:57:13 - 8:57:19 (86);6;109;8:57:17 - 8:57:23 (98);6;103;8:57:22 - 8:57:27 (86);5;102;8:57:23 - 8:57:29 (127);6;102;8:57:29 - 8:57:38 (86);9;90;8:57:28 - 8:57:36 (113);8;89;
errosion;8:59:7 - 8:59:8 (32);1;;8:59:10 - 8:59:11 (32);1;;8:59:8 - 8:59:9 (98);1;;8:59:7 - 8:59:8 (86);1;;8:59:8 - 8:59:9 (86);1;;8:59:9 - 8:59:9 (125);0;;8:59:9 - 8:59:10 (128);1;;8:59:10 - 8:59:11 (125);1;;8:59:8 - 8:59:9 (125);1;;8:59:6 - 8:59:7 (98);1;;8:59:9 - 8:59:10 (32);1;;8:59:11 - 8:59:11 (112);0;;8:59:8 - 8:59:8 (112);0;;8:59:5 - 8:59:5 (98);0;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;20:55:24 - 20:55:45;21;107;20:55:24 - 20:55:45;21;105;20:55:24 - 20:55:41;17;120;20:55:24 - 20:55:45;21;117;20:55:24 - 20:55:42;18;136;20:55:24 - 20:55:42;18;132;20:55:24 - 20:55:43;19;124;20:55:24 - 20:55:44;20;124;20:55:24 - 20:55:45;21;133;20:55:24 - 20:55:45;21;134;20:55:24 - 20:55:45;21;146;20:55:24 - 20:55:42;18;185;20:55:24 - 20:55:42;18;182;20:55:24 - 20:55:45;21;154;
grayscaling;8:57:32 - 8:57:40 (101);8;89;8:57:30 - 8:57:39 (109);9;92;8:57:41 - 8:57:46 (101);5;80;8:57:42 - 8:57:48 (86);6;80;8:57:58 - 8:58:6 (32);8;65;8:57:54 - 8:58:0 (87);6;69;8:57:47 - 8:57:53 (30);6;74;8:57:48 - 8:57:54 (101);6;74;8:57:58 - 8:58:6 (128);8;61;8:57:59 - 8:58:7 (101);8;62;8:58:11 - 8:58:16 (101);5;54;8:58:47 - 8:59:50 (121);63;0;8:58:44 - 8:59:16 (87);32;0;8:58:19 - 8:58:25 (87);6;44;
errosion;8:59:9 - 8:59:10 (86);1;;8:59:11 - 8:59:11 (86);0;;8:59:6 - 8:59:7 (112);1;;8:59:8 - 8:59:9 (112);1;;8:59:11 - 8:59:11 (125);0;;8:59:9 - 8:59:10 (125);1;;8:59:7 - 8:59:7 (86);0;;8:59:8 - 8:59:9 (128);1;;8:59:7 - 8:59:8 (125);1;;8:59:9 - 8:59:10 (112);1;;8:59:10 - 8:59:10 (86);0;;8:59:50 - 8:59:51 (32);1;;8:59:16 - 8:59:17 (128);1;;8:59:9 - 8:59:10 (98);1;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
