sep=;
16sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;21:10:41 - 21:11:3;22;2;21:10:41 - 21:11:2;21;3;21:10:41 - 21:11:2;21;3;21:10:41 - 21:11:1;20;4;21:10:41 - 21:11:3;22;2;21:10:41 - 21:11:2;21;4;21:10:41 - 21:11:5;24;0;21:10:41 - 21:11:3;22;3;21:10:41 - 21:11:1;20;5;21:10:41 - 21:11:2;21;3;21:10:41 - 21:11:1;20;4;21:10:41 - 21:11:2;21;3;21:10:41 - 21:11:1;20;4;21:10:41 - 21:11:2;21;3;21:10:41 - 21:11:1;20;5;21:10:41 - 21:11:1;20;5;
grayscaling;21:11:5 - 21:11:23 (36);18;21;21:11:5 - 21:11:22 (46);17;21;21:11:5 - 21:11:23 (39);18;22;21:11:5 - 21:11:24 (38);19;23;21:11:5 - 21:11:24 (41);19;23;21:11:6 - 21:11:27 (33);21;26;21:11:5 - 21:11:20 (35);15;21;21:11:6 - 21:11:36 (37);30;20;21:11:6 - 21:11:21 (47);15;22;21:11:5 - 21:11:21 (43);16;22;21:11:5 - 21:11:23 (32);18;23;21:11:5 - 21:11:35 (45);30;21;21:11:5 - 21:11:25 (44);20;22;21:11:5 - 21:11:24 (34);19;23;21:11:6 - 21:11:22 (40);16;21;21:11:6 - 21:11:26 (42);20;22;
errosion;21:11:44 - 21:12:13 (32);29;;21:11:43 - 21:12:19 (43);36;;21:11:45 - 21:12:8 (40);23;;21:11:47 - 21:12:15 (34);28;;21:11:47 - 21:12:13 (36);26;;21:11:53 - 21:12:19 (38);26;;21:11:41 - 21:12:9 (47);28;;21:11:56 - 21:12:20 (37);24;;21:11:43 - 21:12:9 (39);26;;21:11:43 - 21:12:8 (44);25;;21:11:46 - 21:12:12 (46);26;;21:11:56 - 21:12:21 (45);25;;21:11:47 - 21:12:16 (42);29;;21:11:47 - 21:12:16 (41);29;;21:11:43 - 21:12:11 (35);28;;21:11:48 - 21:12:15 (33);27;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;21:11:20 - 21:11:43;23;25;21:11:21 - 21:11:43;22;26;21:11:21 - 21:11:41;20;32;21:11:22 - 21:11:46;24;27;21:11:22 - 21:11:45;23;28;21:11:23 - 21:11:47;24;26;21:11:23 - 21:11:43;20;30;21:11:23 - 21:11:44;21;29;21:11:24 - 21:11:47;23;28;21:11:24 - 21:11:47;23;28;21:11:24 - 21:11:53;29;23;21:11:25 - 21:11:43;18;33;21:11:26 - 21:11:47;21;32;21:11:27 - 21:11:48;21;31;21:11:35 - 21:11:56;21;24;21:11:36 - 21:11:56;20;25;
grayscaling;21:12:8 - 21:12:24 (44);16;20;21:12:9 - 21:12:21 (40);12;21;21:12:13 - 21:12:27 (39);14;21;21:12:13 - 21:12:26 (47);13;21;21:12:13 - 21:12:26 (35);13;21;21:12:13 - 21:12:27 (46);14;22;21:12:13 - 21:12:26 (36);13;21;21:12:13 - 21:12:26 (32);13;21;21:12:15 - 21:12:29 (34);14;21;21:12:15 - 21:12:29 (33);14;22;21:12:16 - 21:12:30 (41);14;21;21:12:16 - 21:12:30 (42);14;21;21:12:19 - 21:12:33 (38);14;21;21:12:19 - 21:12:32 (43);13;20;21:12:20 - 21:12:35 (37);15;20;21:12:21 - 21:12:35 (45);14;20;
errosion;21:12:44 - 21:13:20 (44);36;;21:12:42 - 21:13:18 (40);36;;21:12:48 - 21:13:28 (39);40;;21:12:47 - 21:13:28 (47);41;;21:12:47 - 21:13:23 (35);36;;21:12:49 - 21:13:34 (46);45;;21:12:47 - 21:13:26 (36);39;;21:12:47 - 21:13:21 (32);34;;21:12:50 - 21:13:36 (34);46;;21:12:51 - 21:13:37 (33);46;;21:12:51 - 21:13:37 (41);46;;21:12:51 - 21:13:37 (42);46;;21:12:54 - 21:13:19 (38);25;;21:12:52 - 21:13:10 (43);18;;21:12:55 - 21:13:20 (37);25;;21:12:55 - 21:13:21 (45);26;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;21:12:21 - 21:12:42;21;28;21:12:24 - 21:12:44;20;34;21:12:26 - 21:12:47;21;32;21:12:26 - 21:12:47;21;33;21:12:26 - 21:12:47;21;33;21:12:26 - 21:12:47;21;34;21:12:27 - 21:12:48;21;33;21:12:27 - 21:12:49;22;32;21:12:29 - 21:12:50;21;33;21:12:29 - 21:12:51;22;35;21:12:30 - 21:12:51;21;37;21:12:30 - 21:12:51;21;37;21:12:32 - 21:12:52;20;38;21:12:33 - 21:12:54;21;38;21:12:35 - 21:12:55;20;38;21:12:35 - 21:12:55;20;39;
grayscaling;21:13:10 - 21:13:21 (43);11;74;21:13:18 - 21:13:30 (40);12;67;21:13:19 - 21:13:34 (38);15;67;21:13:20 - 21:13:32 (44);12;66;21:13:20 - 21:13:36 (37);16;77;21:13:21 - 21:13:34 (43);13;67;21:13:21 - 21:13:33 (32);12;66;21:13:21 - 21:13:36 (45);15;78;21:13:23 - 21:13:35 (35);12;72;21:13:26 - 21:13:38 (36);12;76;21:13:28 - 21:13:40 (47);12;75;21:13:28 - 21:13:41 (39);13;75;21:13:30 - 21:13:44 (40);14;73;21:13:32 - 21:13:47 (44);15;73;21:13:33 - 21:13:45 (32);12;74;21:13:34 - 21:13:50 (46);16;71;
errosion;21:14:35 - 21:15:0 (43);25;;21:14:37 - 21:14:59 (35);22;;21:14:41 - 21:15:3 (39);22;;21:14:38 - 21:15:3 (45);25;;21:14:53 - 21:15:20 (38);27;;21:14:41 - 21:15:3 (47);22;;21:14:39 - 21:15:1 (36);22;;21:14:54 - 21:15:12 (37);18;;21:14:47 - 21:15:9 (32);22;;21:14:54 - 21:15:21 (34);27;;21:14:55 - 21:15:23 (42);28;;21:14:56 - 21:15:23 (41);27;;21:14:57 - 21:15:17 (33);20;;21:15:0 - 21:15:20 (43);20;;21:14:59 - 21:15:13 (35);14;;21:15:1 - 21:15:21 (40);20;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;21:13:34 - 21:14:35;61;37;21:13:34 - 21:14:53;79;19;21:13:35 - 21:14:37;62;35;21:13:36 - 21:14:54;78;18;21:13:36 - 21:14:54;78;18;21:13:36 - 21:14:38;62;34;21:13:37 - 21:14:55;78;17;21:13:37 - 21:14:56;79;16;21:13:37 - 21:14:57;80;16;21:13:38 - 21:14:39;61;38;21:13:40 - 21:14:41;61;39;21:13:41 - 21:14:41;60;39;21:13:44 - 21:15:1;77;20;21:13:45 - 21:14:47;62;34;21:13:47 - 21:15:3;76;20;21:13:50 - 21:15:7;77;16;
