sep=;
4sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;sub-image 1;sub-image 2;sub-image 3;
preparation;17:29:52 - 17:30:17;17:29:52 - 17:30:17;17:29:52 - 17:30:18;17:29:52 - 17:30:18;
grayscaling;17:30:18 - 17:30:54 (22.);17:30:18 - 17:30:54 (23.);17:30:18 - 17:30:52 (20.);17:30:18 - 17:30:53 (21.);
errosion;17:31:23 - 17:31:55 (23.);17:31:22 - 17:31:53 (22.);17:31:21 - 17:31:54 (21.);17:31:22 - 17:31:52 (20.);


image2;sub-image 0;sub-image 1;sub-image 2;sub-image 3;
preparation;17:30:52 - 17:31:22;17:30:53 - 17:31:21;17:30:54 - 17:31:23;17:30:54 - 17:31:22;
grayscaling;17:31:52 - 17:32:12 (20.);17:31:53 - 17:32:12 (22.);17:31:54 - 17:32:13 (21.);17:31:55 - 17:32:14 (23.);
errosion;17:32:39 - 17:33:10 (21.);17:32:40 - 17:33:11 (20.);17:32:40 - 17:33:9 (22.);17:32:41 - 17:33:9 (23.);


image3;sub-image 0;sub-image 1;sub-image 2;sub-image 3;
preparation;17:32:12 - 17:32:40;17:32:12 - 17:32:40;17:32:13 - 17:32:39;17:32:14 - 17:32:41;
grayscaling;17:33:9 - 17:33:43 (22.);17:33:9 - 17:33:43 (23.);17:33:10 - 17:33:43 (21.);17:33:11 - 17:33:47 (20.);
errosion;17:35:11 - 17:36:3 (21.);17:35:13 - 17:36:7 (22.);17:35:13 - 17:36:6 (23.);17:35:17 - 17:36:9 (20.);


image4;sub-image 0;sub-image 1;sub-image 2;sub-image 3;
preparation;17:33:43 - 17:35:13;17:33:43 - 17:35:11;17:33:43 - 17:35:13;17:33:47 - 17:35:17;
grayscaling;17:36:3 - 17:37:59 (21.);17:36:6 - 17:38:4 (23.);17:36:7 - 17:38:4 (22.);17:36:9 - 17:38:6 (20.);
errosion;17:40:23 - 17:43:15 (21.);17:40:30 - 17:43:25 (22.);17:40:30 - 17:43:26 (23.);17:40:32 - 17:43:26 (20.);


image5;sub-image 0;sub-image 1;sub-image 2;sub-image 3;
preparation;17:37:59 - 17:40:23;17:38:4 - 17:40:30;17:38:4 - 17:40:30;17:38:6 - 17:40:32;
grayscaling;17:43:15 - 17:46:19 (21.);17:43:25 - 17:46:32 (22.);17:43:26 - 17:46:32 (23.);17:43:26 - 17:46:31 (20.);
errosion;17:46:19 - 17:50:55 (21.);17:46:32 - 17:51:7 (22.);17:46:32 - 17:51:7 (23.);17:46:31 - 17:51:6 (20.);


4sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;sub-image 1;sub-image 2;sub-image 3;
preparation;18:15:6 - 18:15:32;18:15:6 - 18:15:30;18:15:6 - 18:15:31;18:15:6 - 18:15:32;
grayscaling;6:15:33 - 6:16:9 (30.);6:15:34 - 6:16:10 (99.);6:15:35 - 6:16:11 (87.);6:15:35 - 6:16:11 (106.);
errosion;6:16:9 - 6:16:10 (120.);6:16:10 - 6:16:10 (36.);6:16:11 - 6:16:11 (99.);6:16:11 - 6:16:12 (36.);


image2;sub-image 0;sub-image 1;sub-image 2;sub-image 3;
preparation;18:15:32 - 18:16:20;18:15:32 - 18:16:20;18:15:32 - 18:16:19;18:15:32 - 18:16:19;
grayscaling;6:16:20 - 6:17:2 (116.);6:16:20 - 6:17:2 (123.);6:16:20 - 6:17:3 (99.);6:16:21 - 6:17:3 (90.);
errosion;6:17:2 - 6:17:2 (32.);6:17:3 - 6:17:3 (32.);6:17:3 - 6:17:4 (99.);6:17:4 - 6:17:4 (90.);


image3;sub-image 0;sub-image 1;sub-image 2;sub-image 3;
preparation;18:16:20 - 18:16:52;18:16:20 - 18:16:52;18:16:20 - 18:16:52;18:16:20 - 18:16:52;
grayscaling;6:16:52 - 6:17:35 (119.);6:16:52 - 6:17:35 (85.);6:16:53 - 6:17:35 (127.);6:16:53 - 6:17:35 (129.);
errosion;6:17:36 - 6:17:36 (85.);6:17:35 - 6:17:36 (98.);6:17:36 - 6:17:36 (99.);6:17:36 - 6:17:36 (127.);


image4;sub-image 0;sub-image 1;sub-image 2;sub-image 3;
preparation;18:16:52 - 18:18:48;18:16:52 - 18:18:48;18:16:52 - 18:18:41;18:16:52 - 18:18:45;
grayscaling;6:18:50 - 6:20:54 (104.);6:18:50 - 6:20:54 (106.);6:18:51 - 6:20:55 (98.);6:18:49 - 6:20:52 (127.);
errosion;6:20:56 - 6:20:56 (127.);6:20:55 - 6:20:55 (127.);6:20:57 - 6:20:57 (127.);6:20:54 - 6:20:54 (106.);


image5;sub-image 0;sub-image 1;sub-image 2;sub-image 3;
preparation;18:18:48 - 18:21:46;18:18:48 - 18:21:52;18:18:48 - 18:21:51;18:18:48 - 18:21:49;
grayscaling;6:21:54 - 6:25:10 (98.);6:21:56 - 6:25:14 (117.);6:21:57 - 6:25:14 (109.);6:21:57 - 6:25:14 (104.);
errosion;6:25:11 - 6:25:13 (98.);6:25:15 - 6:25:16 (98.);6:25:18 - 6:25:18 (117.);6:25:17 - 6:25:17 (117.);


