sep=;
6sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:33:24 - 18:33:48;24;1;18:33:24 - 18:33:49;25;0;18:33:24 - 18:33:49;25;0;18:33:24 - 18:33:48;24;1;18:33:24 - 18:33:48;24;1;18:33:24 - 18:33:48;24;1;
grayscaling;18:33:49 - 18:34:10 (26);21;26;18:33:49 - 18:34:11 (27);22;26;18:33:49 - 18:34:9 (22);20;25;18:33:49 - 18:34:8 (25);19;23;18:33:49 - 18:34:9 (23);20;26;18:33:49 - 18:34:8 (24);19;24;
errosion;18:34:36 - 18:35:4 (23);28;;18:34:37 - 18:35:3 (27);26;;18:34:34 - 18:35:1 (22);27;;18:34:31 - 18:34:59 (25);28;;18:34:35 - 18:35:1 (26);26;;18:34:32 - 18:35:1 (24);29;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:34:8 - 18:34:31;23;28;18:34:8 - 18:34:32;24;29;18:34:9 - 18:34:34;25;27;18:34:9 - 18:34:36;27;25;18:34:10 - 18:34:35;25;28;18:34:11 - 18:34:37;26;27;
grayscaling;18:34:59 - 18:35:16 (25);17;22;18:35:1 - 18:35:20 (26);19;24;18:35:1 - 18:35:18 (24);17;24;18:35:1 - 18:35:18 (22);17;21;18:35:3 - 18:35:20 (27);17;24;18:35:4 - 18:35:20 (23);16;25;
errosion;18:35:38 - 18:36:21 (25);43;;18:35:44 - 18:36:28 (26);44;;18:35:42 - 18:36:25 (22);43;;18:35:39 - 18:36:20 (24);41;;18:35:44 - 18:36:30 (27);46;;18:35:45 - 18:36:31 (23);46;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;18:35:16 - 18:35:38;22;42;18:35:18 - 18:35:42;24;39;18:35:18 - 18:35:39;21;46;18:35:20 - 18:35:44;24;44;18:35:20 - 18:35:44;24;46;18:35:20 - 18:35:45;25;46;
grayscaling;18:36:20 - 18:36:35 (24);15;71;18:36:21 - 18:36:35 (25);14;74;18:36:25 - 18:36:40 (22);15;77;18:36:28 - 18:36:43 (26);15;76;18:36:30 - 18:36:45 (27);15;79;18:36:31 - 18:36:48 (23);17;78;
