sep=;
8sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;18:59:2 - 18:59:21;19;2;18:59:2 - 18:59:22;20;1;18:59:2 - 18:59:22;20;1;18:59:2 - 18:59:23;21;0;18:59:2 - 18:59:22;20;1;18:59:2 - 18:59:22;20;1;18:59:2 - 18:59:23;21;0;18:59:2 - 18:59:23;21;0;
grayscaling;18:59:23 - 18:59:42 (31);19;23;18:59:23 - 18:59:40 (26);17;22;18:59:23 - 18:59:41 (28);18;24;18:59:23 - 18:59:40 (29);17;23;18:59:23 - 18:59:40 (27);17;23;18:59:23 - 18:59:41 (30);18;22;18:59:23 - 18:59:40 (24);17;23;18:59:23 - 18:59:39 (25);16;23;
errosion;19:0:5 - 19:0:29 (31);24;;19:0:2 - 19:0:27 (24);25;;19:0:5 - 19:0:29 (25);24;;19:0:3 - 19:0:28 (28);25;;19:0:3 - 19:0:29 (26);26;;19:0:3 - 19:0:30 (29);27;;19:0:3 - 19:0:27 (27);24;;19:0:2 - 19:0:31 (30);29;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;18:59:39 - 19:0:5;26;22;18:59:40 - 19:0:3;23;24;18:59:40 - 19:0:3;23;25;18:59:40 - 19:0:2;22;27;18:59:40 - 19:0:3;23;26;18:59:41 - 19:0:2;21;27;18:59:41 - 19:0:3;22;27;18:59:42 - 19:0:5;23;26;
grayscaling;19:0:27 - 19:0:43 (24);16;21;19:0:27 - 19:0:43 (27);16;21;19:0:28 - 19:0:43 (28);15;21;19:0:29 - 19:0:45 (26);16;21;19:0:29 - 19:0:45 (31);16;21;19:0:29 - 19:0:47 (25);18;21;19:0:30 - 19:0:45 (29);15;21;19:0:31 - 19:0:46 (30);15;21;
errosion;19:1:4 - 19:1:29 (24);25;;19:1:4 - 19:1:27 (27);23;;19:1:4 - 19:1:28 (28);24;;19:1:6 - 19:1:29 (26);23;;19:1:6 - 19:1:31 (31);25;;19:1:8 - 19:1:31 (25);23;;19:1:6 - 19:1:33 (29);27;;19:1:7 - 19:1:30 (30);23;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;19:0:43 - 19:1:4;21;23;19:0:43 - 19:1:4;21;24;19:0:43 - 19:1:4;21;25;19:0:45 - 19:1:6;21;23;19:0:45 - 19:1:6;21;24;19:0:45 - 19:1:6;21;25;19:0:46 - 19:1:7;21;24;19:0:47 - 19:1:8;21;25;
grayscaling;19:1:27 - 19:1:54 (27);27;70;19:1:28 - 19:1:55 (28);27;70;19:1:29 - 19:1:56 (24);27;70;19:1:29 - 19:1:56 (26);27;70;19:1:30 - 19:1:57 (30);27;70;19:1:31 - 19:1:58 (25);27;70;19:1:31 - 19:1:58 (31);27;70;19:1:33 - 19:2:0 (29);27;70;
errosion;19:3:4 - 19:3:45 (27);41;;19:3:5 - 19:3:46 (28);41;;19:3:6 - 19:3:47 (24);41;;19:3:6 - 19:3:47 (26);41;;19:3:7 - 19:3:48 (30);41;;19:3:8 - 19:3:49 (25);41;;19:3:8 - 19:3:49 (31);41;;19:3:10 - 19:3:51 (29);41;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;19:1:54 - 19:3:4;70;41;19:1:55 - 19:3:5;70;41;19:1:56 - 19:3:6;70;41;19:1:56 - 19:3:6;70;41;19:1:57 - 19:3:7;70;41;19:1:58 - 19:3:8;70;41;19:1:58 - 19:3:8;70;41;19:2:0 - 19:3:10;70;41;
grayscaling;19:3:45 - 19:5:15 (27);90;111;19:3:46 - 19:5:16 (28);90;111;19:3:47 - 19:5:16 (24);89;112;19:3:47 - 19:5:17 (26);90;111;19:3:48 - 19:5:18 (30);90;112;19:3:49 - 19:5:19 (31);90;112;19:3:49 - 19:5:19 (25);90;112;19:3:51 - 19:5:21 (29);90;112;
errosion;19:7:6 - 19:9:21 (27);135;;19:7:7 - 19:9:22 (28);135;;19:7:8 - 19:9:23 (24);135;;19:7:8 - 19:9:24 (26);136;;19:7:10 - 19:9:25 (30);135;;19:7:11 - 19:9:25 (31);134;;19:7:11 - 19:9:26 (25);135;;19:7:13 - 19:9:28 (29);135;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;19:5:15 - 19:7:6;111;135;19:5:16 - 19:7:7;111;135;19:5:16 - 19:7:8;112;135;19:5:17 - 19:7:8;111;136;19:5:18 - 19:7:10;112;135;19:5:19 - 19:7:11;112;134;19:5:19 - 19:7:11;112;135;19:5:21 - 19:7:13;112;135;
