sep=;
Preparation Time of Each Image for Num of Sub-Images;16;
image1.jpg;3608;
image2.jpg;7689;
image3.jpg;6651;
image4.jpg;7131;
image5.jpg;6993;
image6.jpg;3827;
image7.jpg;4113;
image8.jpg;6612;
image9.jpg;3834;
image10.jpg;6932;
image11.jpg;7002;
image12.jpg;3804;
image13.jpg;3863;
image14.jpg;3784;
image15.jpg;3781;
image16.jpg;3754;
image17.jpg;3775;
image18.jpg;6124;
image19.jpg;5882;
image20.jpg;4471;
image21.jpg;3956;
image22.jpg;3784;
image23.jpg;6203;
image24.jpg;7038;
image25.jpg;7032;
image26.jpg;6752;
image27.jpg;6865;
image28.jpg;4587;
image29.jpg;3936;
image30.jpg;3783;
image31.jpg;3761;
image32.jpg;3764;
Benchmark Start;20:33:39;
Benchmark End;20:38:22;
