sep=;
Preparation Time of Each Image for Num of Sub-Images;16;
image1.jpg;3044;
image2.jpg;2285;
image3.jpg;2274;
image4.jpg;2267;
image5.jpg;2265;
image6.jpg;2266;
image7.jpg;2265;
image8.jpg;2280;
image9.jpg;2265;
image10.jpg;2269;
image11.jpg;2282;
image12.jpg;2277;
image13.jpg;2275;
image14.jpg;2269;
image15.jpg;2297;
image16.jpg;2266;
image17.jpg;2364;
image18.jpg;2269;
image19.jpg;2276;
image20.jpg;2301;
image21.jpg;2298;
image22.jpg;2274;
image23.jpg;2267;
image24.jpg;2372;
image25.jpg;2277;
image26.jpg;2269;
image27.jpg;2283;
image28.jpg;2379;
image29.jpg;2270;
image30.jpg;2287;
image31.jpg;2368;
image32.jpg;2285;
Benchmark Start;14:31:51;
Benchmark End;14:35:7;
