sep=;

image1.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;00.45;00.23;00.11;00.18;00.13;00.15;00.15;00.16;00.15;
Overall runtime in seconds;27544;14163;7448;11417;8303;9683;9298;10205;9739;
Averge prep. time for each sub-image;6999;3557;1841;1470;1184;913;734;614;522;
Average filter time for each sub-image;20331;10381;5351;4688;2855;2551;2287;2056;1853;
Start time;17:42:24;17:43:15;17:44:49;17:45:19;17:45:53;17:46:12;17:46:38;17:47:6;17:47:27;
End time;17:42:52;17:43:29;17:44:56;17:45:31;17:46:1;17:46:21;17:46:48;17:47:16;17:47:37;

image2.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;01.18;00.60;00.31;00.41;00.31;00.43;00.30;00.41;00.33;
Overall runtime in seconds;71772;36779;19066;25258;19111;26734;18976;25990;20936;
Averge prep. time for each sub-image;18243;9273;4733;3179;2384;2349;1488;1586;1307;
Average filter time for each sub-image;52998;26965;13763;10195;6753;7333;4624;5294;3640;
Start time;17:47:52;17:49:20;17:50:7;17:50:39;17:51:18;17:51:49;17:52:27;17:52:57;17:53:32;
End time;17:49:4;17:49:56;17:50:26;17:51:4;17:51:37;17:52:16;17:52:46;17:53:23;17:53:53;

image3.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;03.98;02.03;01.05;01.56;01.18;01.25;01.28;01.16;01.26;
Overall runtime in seconds;239104;122257;63058;94214;71602;75544;77187;70331;76325;
Averge prep. time for each sub-image;60739;30796;15686;10474;7856;6032;4903;4631;4311;
Average filter time for each sub-image;176682;89761;45601;37448;24667;20834;19251;13790;13331;
Start time;17:54:6;17:58:45;18:0:57;18:2:18;18:4:24;18:5:50;18:7:20;18:8:47;18:10:54;
End time;17:58:6;18:0:47;18:2:0;18:3:52;18:5:35;18:7:6;18:8:37;18:9:58;18:12:10;

image4.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;02.56;01.31;00.68;01.01;00.68;00.81;00.66;01.06;00.73;
Overall runtime in seconds;154972;79246;41026;61214;41254;49054;40633;64383;44832;
Averge prep. time for each sub-image;39355;19960;10186;6815;5102;3929;3188;3395;2802;
Average filter time for each sub-image;114535;58155;29635;24322;14701;13505;9931;12781;7962;
Start time;18:12:33;18:15:23;18:17:27;18:18:18;18:19:38;18:20:30;18:21:30;18:22:46;18:24:6;
End time;18:15:8;18:16:42;18:18:8;18:19:20;18:20:19;18:21:19;18:22:11;18:23:50;18:24:51;

image5.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;07.01;03.56;01.83;02.51;02.31;02.78;02.56;02.46;02.60;
Overall runtime in seconds;421143;214773;110760;151895;139019;167041;154598;148114;156621;
Averge prep. time for each sub-image;107103;54122;27584;22012;13776;10632;11014;8116;7607;
Average filter time for each sub-image;311141;157731;80251;61329;46381;48132;35417;29768;28509;
Start time;18:25:10;18:33:3;18:36:49;18:44:3;18:48:56;18:52:42;18:55:39;18:58:37;19:1:18;
End time;18:32:11;18:36:38;18:38:40;18:46:35;18:51:15;18:55:29;18:58:14;19:1:5;19:3:55;

image6.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;05.41;02.76;01.41;01.95;01.78;02.15;01.90;01.75;01.83;
Overall runtime in seconds;325471;166481;85939;117268;107795;129544;114403;105564;110442;
Averge prep. time for each sub-image;82648;41899;21348;17056;10673;8246;6677;6295;5877;
Average filter time for each sub-image;240605;122287;62326;47365;36599;35530;28660;20618;21160;
Start time;19:4:6;19:10:5;19:13:1;19:14:39;19:16:48;19:18:51;19:21:14;19:24:47;19:27:30;
End time;19:9:31;19:12:51;19:14:27;19:16:36;19:18:36;19:21:0;19:23:9;19:26:32;19:29:21;
