sep=;

image1.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;00.83;00.50;00.25;00.25;00.20;00.16;00.21;00.36;00.23;
Overall runtime in seconds;50057;30476;15669;15447;12949;10675;13402;22685;14947;
Averge prep. time for each sub-image;7116;3598;1842;1460;1182;905;731;612;526;
Average filter time for each sub-image;34716;17340;8735;5828;4424;3523;2923;2490;2265;
Start time;13:39:33;13:40:42;13:56:1;13:56:47;13:59:3;13:59:34;14:0:17;14:0:45;14:1:31;
End time;13:40:23;13:41:13;13:56:16;13:57:2;13:59:16;13:59:45;14:0:31;14:1:8;14:1:46;

image2.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;02.20;01.01;00.70;00.65;00.56;00.50;00.30;00.41;00.35;
Overall runtime in seconds;132600;61851;42811;39062;34140;30232;18589;25237;21543;
Averge prep. time for each sub-image;18495;9375;4736;3177;2377;2563;1485;1469;1307;
Average filter time for each sub-image;91116;45608;22992;15267;11499;9267;7773;6620;5825;
Start time;14:2:10;14:5:4;14:6:24;14:7:26;14:8:27;14:9:21;14:10:14;14:10:57;14:11:53;
End time;14:4:23;14:6:5;14:7:7;14:8:6;14:9:1;14:9:52;14:10:32;14:11:23;14:12:14;

image3.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;06.78;04.06;02.35;02.13;01.75;01.45;01.50;01.40;01.55;
Overall runtime in seconds;407272;244926;141706;128060;105128;87469;90560;84951;93781;
Averge prep. time for each sub-image;61466;31179;15647;10442;7856;6029;4904;5434;4314;
Average filter time for each sub-image;306302;152914;76819;51292;38585;30892;25678;22084;19242;
Start time;14:12:45;14:20:18;14:24:50;14:27:33;14:29:58;14:32:5;14:33:48;14:36:42;14:38:35;
End time;14:19:33;14:24:23;14:27:12;14:29:41;14:31:43;14:33:33;14:35:19;14:38:7;14:40:9;

image4.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;04.66;02.73;01.56;01.05;01.18;00.81;01.06;00.76;00.75;
Overall runtime in seconds;280871;164075;94110;63850;71643;49422;64769;46738;45636;
Averge prep. time for each sub-image;40080;20221;10148;6795;5088;3932;3186;3397;2807;
Average filter time for each sub-image;197832;99152;49641;33226;24917;20194;16562;14365;12672;
Start time;14:40:38;14:45:43;14:48:48;14:50:48;14:52:12;14:54:34;14:55:52;14:58:47;14:59:57;
End time;14:45:19;14:48:27;14:50:22;14:51:52;14:53:24;14:55:23;14:56:57;14:59:34;15:0:42;

image5.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;12.31;06.91;04.38;02.86;03.15;02.43;02.88;02.35;03.08;
Overall runtime in seconds;739333;415884;263383;172591;189954;146054;173745;141509;185515;
Averge prep. time for each sub-image;108268;54951;27592;22000;13799;10614;8609;9886;7594;
Average filter time for each sub-image;538663;271190;135814;90774;67796;54640;45310;38907;33841;
Start time;13:41:39;15:2:37;15:12:37;15:18:24;15:21:47;15:25:27;15:28:14;15:32:0;15:34:47;
End time;13:53:58;15:9:33;15:17:0;15:21:17;15:24:57;15:27:53;15:31:8;15:34:21;15:37:52;

image6.jpg;1;2;4;6;8;10;12;14;16;
Overall runtime in minutes;09.70;04.40;02.80;02.88;02.31;01.78;01.96;01.33;01.65;
Overall runtime in seconds;582030;264382;168993;173252;139627;107805;118581;80388;99435;
Averge prep. time for each sub-image;84165;42477;21337;14256;10681;9552;6671;6301;5870;
Average filter time for each sub-image;417021;209754;104992;70099;52697;42700;35242;30480;26490;
Start time;15:38:26;15:48:29;15:53:19;15:57:39;16:0:45;16:3:20;16:5:41;16:8:3;16:12:53;
End time;15:48:8;15:52:53;15:56:8;16:0:32;16:3:4;16:5:8;16:7:39;16:9:23;16:14:33;
